query_id,source_query,gold_codes,gold_labels,original_row_indices,original_mapping_pair_count
51,CAL-51,EFO:0005358,CAL51,51,1
52,CAL-54,EFO:0002125,CAL54,52,1
53,CAL-62,EFO:0002126,CAL62,53,1
54,CAL-85-1,EFO:0005359,CAL851,54,1
55,Calu-1,EFO:0002151,Calu1,55,1
56,Calu-3,EFO:0002819,Calu3,56,1
57,Calu-6,EFO:0002152,Calu6,57,1
58,CAMA-1,EFO:0001100,CAMA1,58,1
59,Caov-3,EFO:0002148,CaOv3,59,1
60,Capan-1,EFO:0002153,Capan1,60,1
61,Capan-2,EFO:0002154,Capan2,61,1
62,CCF-STTG1,EFO:0002127,CCFSTTG1,62,1
63,CFPAC-1,EFO:0006551,CFPAC-1,63,1
64,CGTH-W-1,EFO:0002131,CGTHW1,64,1
65,ChaGo-K-1,EFO:0002155,ChaGoK1,65,1
66,CHL-1,EFO:0002132,CHL1,66,1
67,CHP-212,EFO:0002133,CHP212,67,1
68,CI-1,EFO:0006367,CI-1,68,1
69,CL-11,EFO:0006368,CL-11,69,1
70,CL-34,EFO:0006369,CL-34,70,1
71,CL-40,EFO:0006370,CL-40,71,1
72,CMK,EFO:0003037,CMK,72,1
73,CML-T1,EFO:0002134,CMLT1,73,1
74,COLO-678,EFO:0006371,COLO 678,74,1
75,COLO-679,EFO:0006372,COLO 679,75,1
76,COLO-680N,EFO:0006373,COLO 680N,76,1
77,COLO-699,EFO:0006374,COLO 699,77,1
78,COLO-704,EFO:0002139,COLO704,78,1
79,COLO 741,EFO:0006375,COLO 741,79,1
80,COLO-783,EFO:0006376,COLO 783,80,1
81,COLO 792,EFO:0006377,COLO 792,81,1
82,COLO-800,EFO:0006378,COLO 800,82,1
83,COLO-849,EFO:0006379,COLO 849,83,1
84,COR-L105,EFO:0002141,CORL105,84,1
85,COR-L23,EFO:0002142,CORL23,85,1
86,COR-L279,EFO:0002143,CORL279,86,1
87,COR-L47,EFO:0006556,COR-L47,87,1
88,COR-L88,EFO:0002144,CORL88,88,1
89,COV318,EFO:0006382,COV318,89,1
90,COV362,EFO:0006383,COV362,90,1
91,COV434,EFO:0006384,COV434,91,1
92,COV504,EFO:0006385,COV504,92,1
93,COV644,EFO:0006386,COV644,93,1
94,CPC-N,EFO:0006559,CPC-N,94,1
95,CW-2,EFO:0006560,CW-2,95,1
96,DAN-G,EFO:0006562,DAN-G,96,1
97,Daoy,EFO:0005698,Daoy,97,1
98,Daudi,EFO:0002169,Daudi,98,1
99,DBTRG-05MG,EFO:0002159,DBTRG05MG,99,1
100,DB,EFO:0002158,DB,100,1
101,DK-MG,EFO:0002161,DKMG,101,1
102,DLD-1,EFO:0006389,DLD1,102,1
103,DMS 114,EFO:0002162,DMS114,103,1
104,DMS 454,EFO:0006390,DMS 454,104,1
105,DND-41,EFO:0007074,DND-41,105,1
106,DOHH-2,EFO:0002167,DOHH2,106,1
107,DU 145,EFO:0005441,DU 145,107,1
108,DU4475,EFO:0002168,DU4475,108,1
109,DV-90,EFO:0006565,DV-90,109,1
110,EB1,EFO:0002172,EB1,110,1
111,EB2,EFO:0002173,EB2,111,1
112,EBC-1,EFO:0003115,EBC-1,112,1
113,EFM-192A,EFO:0006568,EFM-192A,113,1
114,EFM-19,EFO:0002175,EFM19,114,1
115,EFO-27,EFO:0006571,EFO-27,115,1
116,EJM,EFO:0006572,EJM,116,1
117,EKVX,EFO:0006786,EKVX,117,1
118,EM-2,EFO:0002176,EM2,118,1
119,EPLC-272H,EFO:0006573,EPLC-272H,119,1
120,ES-2,EFO:0002177,ES2,120,1
121,EVSA-T,EFO:0006574,EVSA-T,121,1
122,FaDu,EFO:0002178,FaDu,122,1
123,FU97,EFO:0002054,Fu97,123,1
124,G-361,EFO:0006394,G-361,124,1
125,G-401,EFO:0002179,G401,125,1
126,G-402,EFO:0002180,G402,126,1
127,GA-10,EFO:0002181,GA10,127,1
128,GCT,EFO:0002182,GCT,128,1
129,GDM-1,EFO:0002183,GDM1,129,1
130,GP2d,EFO:0006575,GP2d,130,1
131,GRANTA-519,EFO:0005369,Granta-519,131,1
132,GR-M,EFO:0006577,GR-M,132,1
133,H4,EFO:0002184,H4,133,1
134,HCC1143,EFO:0001169,HCC1143,134,1
135,HCC-1171,EFO:0003126,HCC1171,135,1
136,HCC1187,EFO:0001170,HCC1187,136,1
137,HCC-1195,EFO:0005371,HCC1195,137,1
138,HCC-1359,EFO:0003128,HCC1359,138,1
139,HCC1395,EFO:0002185,HCC1395,139,1
140,HCC1419,EFO:0005372,HCC1419,140,1
141,HCC1428,EFO:0001171,HCC1428,141,1
142,HCC1500,EFO:0001172,HCC1500,142,1
143,HCC1569,EFO:0001173,HCC1569,143,1
144,HCC1599,EFO:0002186,HCC1599,144,1
145,HCC-15,EFO:0003129,HCC15,145,1
146,HCC1806,EFO:0005373,HCC1806,146,1
147,HCC1937,EFO:0001174,HCC1937,147,1
148,HCC1954,EFO:0001175,HCC1954,148,1
149,HCC202,EFO:0001176,HCC202,149,1
150,HCC2157,EFO:0001177,HCC2157,150,1
151,HCC2218,EFO:0002187,HCC2218,151,1
152,HCC-2279,EFO:0006431,HCC2279,152,1
153,HCC2935,EFO:0005375,HCC2935,153,1
154,HCC-33,EFO:0006417,HCC0033,154,1
155,HCC364,EFO:0006420,HCC0364,155,1
156,HCC-366,EFO:0003131,HCC366,156,1
157,HCC38,EFO:0001180,HCC38,157,1
158,HCC4006,EFO:0003132,HCC4006,158,1
159,HCC-44,EFO:0003133,HCC44,159,1
160,HCC70,EFO:0001181,HCC70,160,1
161,HCC-78,EFO:0003136,HCC78,161,1
162,HCC827,EFO:0003137,HCC827,162,1
163,HCC-95,EFO:0003138,HCC95,163,1
164,HCT-15,EFO:0002188,HCT15,164,1
165,HCT-8,EFO:0002189,HCT8,165,1
166,HD-MY-Z,EFO:0002190,HDMYZ,166,1
167,HEC-1-A,EFO:0002191,HEC1A,167,1
168,HEC-1-B,EFO:0002192,HEC1B,168,1
169,HGC-27,EFO:0006581,HGC-27,169,1
170,HH,EFO:0002194,HH,170,1
171,HMCB,EFO:0002195,HMCB,171,1
172,HNT34,EFO:0006583,HNT-34,172,1
173,HOP-62,EFO:0006439,HOP62,173,1
174,HOP-92,EFO:0006440,HOP92,174,1
175,HOS,EFO:0002196,HOS,175,1
176,HPAC,EFO:0002197,HPAC,176,1
177,Hs 255.T,EFO:0006584,Hs 255.T,177,1
178,Hs 294T,EFO:0006585,Hs 294T,178,1
179,Hs 675.T,EFO:0006587,Hs 675.T,179,1
180,Hs 683,EFO:0006441,Hs 683,180,1
181,Hs 695T,EFO:0006588,Hs 695T,181,1
182,Hs 746T,EFO:0006589,Hs 746T,182,1
183,Hs 766T,EFO:0006590,Hs 766T,183,1
184,Hs 839.T,EFO:0006591,Hs 839.T,184,1
185,Hs 852.T,EFO:0006592,Hs 852.T,185,1
186,Hs 895.T,EFO:0006593,Hs 895.T,186,1
187,Hs 936.T,EFO:0006594,Hs 936.T,187,1
188,Hs 940.T,EFO:0006595,Hs 940.T,188,1
189,HT-1080,EFO:0002059,HT1080,189,1
190,HT115,EFO:0006442,HT115,190,1
191,HT-1197,EFO:0002202,HT1197,191,1
192,HT-1376,EFO:0002203,HT1376,192,1
193,HT-144,EFO:0006443,HT144,193,1
194,HT-29,EFO:0001193,HT-29,194,1
195,HT55,EFO:0006444,HT55,195,1
196,HT,EFO:0002200,HT,196,1
197,huH-1,EFO:0006445,huH-1,197,1
198,HuNS1,EFO:0002207,HuNS1,198,1
199,HUP-T3,EFO:0006596,HuP-T3,199,1
200,HUP-T4,EFO:0002208,HuPT4,200,1
201,IGR-37,EFO:0006597,IGR-37,201,1
202,IGROV1,EFO:0005385,IGROV-1,202,1
203,IM95,EFO:0006446,IM-95,203,1
204,IMR-32,EFO:0001195,IMR-32,204,1
205,IPC-298,EFO:0006447,IPC-298,205,1
206,J82,EFO:0002210,J82,206,1
207,JeKo-1,EFO:0005387,JeKo-1,207,1
208,JHH-1,EFO:0006599,JHH-1,208,1
209,JHH-2,EFO:0006600,JHH-2,209,1
210,JHH-4,EFO:0006601,JHH-4,210,1
211,JHH-5,EFO:0006602,JHH-5,211,1
212,JHH-7,EFO:0006603,JHH-7,212,1
213,JIMT-1,EFO:0005388,JIMT-1,213,1
214,JJN-3,EFO:0006605,JJN-3,214,1
215,JL-1,EFO:0006448,JL-1,215,1
216,JM1,EFO:0002212,JM1,216,1
217,JRT3T35,EFO:0002213,JRT3T35,217,1
218,JVM-2,EFO:0005476,JVM-2,218,1
219,JVM-3,EFO:0002214,JVM3,219,1
220,KARPAS-299,EFO:0005390,KARPAS 299,220,1
221,KARPAS-422,EFO:0005719,Karpas 422,221,1
222,KARPAS-620,EFO:0006449,KARPAS-620,222,1
223,KASUMI-1,EFO:0006607,Kasumi-1,223,1
224,KASUMI-2,EFO:0002224,Kasumi2,224,1
225,KCI-MOH1,EFO:0006608,KCI-MOH1,225,1
226,KELLY,EFO:0002069,KELLY,226,1
227,KG-1,EFO:0002218,KG1,227,1
228,KHM-1B,EFO:0006609,KHM-1B,228,1
229,KLE,EFO:0002220,KLE,229,1
230,KLM-1,EFO:0006610,KLM-1,230,1
231,KM12,EFO:0006282,KM12,231,1
232,KMM-1,EFO:0006611,KMM-1,232,1
233,KMS-11,EFO:0005694,KMS-11,233,1
234,KMS-12-BM,EFO:0006612,KMS-12-BM,234,1
235,KMS-21BM,EFO:0006614,KMS-21-BM,235,1
236,KMS-26,EFO:0006615,KMS-26,236,1
237,KMS-27,EFO:0006616,KMS-27,237,1
238,KMS-28BM,EFO:0006617,KMS-28BM,238,1
239,KMS-34,EFO:0006619,KMS-34,239,1
240,KNS-62,EFO:0006620,KNS-62,240,1
241,KP-2,EFO:0006621,KP-2,241,1
242,KP-3,EFO:0006622,KP-3,242,1
243,KP4,EFO:0006623,KP-4,243,1
244,KPL-1,EFO:0002221,KPL1,244,1
245,KU812,EFO:0002222,KU812,245,1
246,KURAMOCHI,EFO:0006625,KURAMOCHI,246,1
247,KYSE-140,EFO:0006626,KYSE-140,247,1
248,KYSE-150,EFO:0006627,KYSE-150,248,1
249,KYSE-180,EFO:0006628,KYSE-180,249,1
250,KYSE-270,EFO:0006629,KYSE-270,250,1
251,KYSE-30,EFO:0002223,KYSE30,251,1
252,KYSE-450,EFO:0006630,KYSE-450,252,1
253,KYSE-510,EFO:0006631,KYSE-510,253,1
254,KYSE-520,EFO:0006632,KYSE-520,254,1
255,KYSE-70,EFO:0006633,KYSE-70,255,1
256,L-363,EFO:0006450,L-363,256,1
257,L-428,EFO:0002225,L428,257,1
258,LC-1F,EFO:0002827,LC-1F,258,1
259,LCLC-103H,EFO:0006634,LCLC-103H,259,1
260,LCLC-97TM1,EFO:0006635,LCLC-97TM1,260,1
261,LN-18,EFO:0006636,LN-18,261,1
262,LN-229,EFO:0006637,LN-229,262,1
263,LNCaP clone FGC,EFO:0005726,LNCaP clone FGC,263,1
264,Loucy,EFO:0007112,Loucy,264,1
265,LOU-NH91,EFO:0006638,LOU-NH91,265,1
266,LoVo,EFO:0006639,LoVo,266,1
267,LOX IMVI,EFO:0006284,LOXIMVI,267,1
268,LS1034,EFO:0002226,LS1034,268,1
269,LS 180,EFO:0006640,LS 180,269,1
270,LXF-289,EFO:0006641,LXF-289,270,1
271,M059K,EFO:0006451,M059K,271,1
272,Malme-3M,EFO:0002243,Malme3M,272,1
273,MC116,EFO:0002228,MC116,273,1
274,MCAS,EFO:0006453,MCAS,274,1
275,MDA-MB-134-VI,EFO:0001205,MDAMB134VI,275,1
276,MDA-MB-157,EFO:0001206,MDAMB157,276,1
277,MDA-MB-175-VII,EFO:0001208,MDAMB175VII,277,1
278,MDA-MB-231,EFO:0001209,MDAMB231,278,1
279,MDA-MB-361,EFO:0001211,MDAMB361,279,1
280,MDA-MB-415,EFO:0001212,MDAMB415,280,1
281,MDA-MB-436,EFO:0001214,MDAMB436,281,1
282,MDA-MB-453,EFO:0001215,MDAMB453,282,1
283,MDA-MB-468,EFO:0001216,MDAMB468,283,1
284,MDST8,EFO:0006644,MDST8,284,1
285,ME-1,EFO:0006645,ME-1,285,1
286,MEC-1,EFO:0002231,MEC1,286,1
287,MEC-2,EFO:0006285,MEC2,287,1
288,MEG-01,EFO:0002232,MEG01,288,1
289,MEL-HO,EFO:0006647,MEL-HO,289,1
290,MES-SA,EFO:0002233,MESSA,290,1
291,MeWo,EFO:0006648,MeWo,291,1
292,MG-63,EFO:0002234,MG63,292,1
293,MHH-ES-1,EFO:0006650,MHH-ES-1,293,1
294,MHH-NB-11,EFO:0006651,MHH-NB-11,294,1
295,MIA PaCa-2,EFO:0002236,MIA Paca-2,295,1
296,MJ,EFO:0002237,MJ,296,1
297,MOLM-16,EFO:0006652,MOLM-16,297,1
298,MOLP-2,EFO:0006653,MOLP-2,298,1
299,MOLP-8,EFO:0006654,MOLP-8,299,1
300,MOLT-16,EFO:0002239,MOLT16,300,1
301,MOLT-3,EFO:0005265,MOLT-3,301,1
302,MOLT-4,EFO:0001220,MOLT-4,302,1
303,MONO-MAC-6,EFO:0006287,Mono Mac 6,303,1
304,MUTZ-3,EFO:0005395,MUTZ-3,304,1
305,NALM-1,EFO:0002244,NALM1,305,1
306,NALM-6,EFO:0002245,NALM6,306,1
307,NAMALWA,EFO:0002246,NAMALWA,307,1
308,NB-4,EFO:0002798,NB4,308,1
309,NCI-H1092,EFO:0002249,NCI-H1092,309,1
310,NCI-H1155,EFO:0002250,NCI-H1155,310,1
311,NCI-H1299,EFO:0003043,NCI-H1299,311,1
312,NCI-H1355,EFO:0002251,NCI-H1355,312,1
313,NCI-H1373,EFO:0006657,NCI-H1373,313,1
314,NCI-H1395,EFO:0002252,NCI-H1395,314,1
315,NCI-H1435,EFO:0006658,NCI-H1435,315,1
316,NCI-H1436,EFO:0002253,NCI-H1436,316,1
317,NCI-H1437,EFO:0002254,NCI-H1437,317,1
318,NCI-H146,EFO:0006659,NCI-H146,318,1
319,NCI-H1563,EFO:0002255,NCI-H1563,319,1
320,NCI-H1568,EFO:0006660,NCI-H1568,320,1
321,NCI-H1573,EFO:0002256,NCI-H1573,321,1
322,NCI-H1581,EFO:0002257,NCI-H1581,322,1
323,NCI-H1618,EFO:0002258,NCI-H1618,323,1
324,NCI-H1623,EFO:0002259,NCI-H1623,324,1
325,NCI-H1648,EFO:0003119,NCI-H1648,325,1
326,NCI-H1650,EFO:0002260,NCI-H1650,326,1
327,NCI-H1651,EFO:0002261,NCI-H1651,327,1
328,NCI-H1666,EFO:0002262,NCI-H1666,328,1
329,NCI-H1693,EFO:0006661,NCI-H1693,329,1
330,NCI-H1694,EFO:0002263,NCI-H1694,330,1
331,NCI-H1703,EFO:0002264,NCI-H1703,331,1
332,NCI-H1734,EFO:0006662,NCI-H1734,332,1
333,NCI-H1781,EFO:0006663,NCI-H1781,333,1
334,NCI-H1792,EFO:0002266,NCI-H1792,334,1
335,NCI-H1793,EFO:0002267,NCI-H1793,335,1
336,NCI-H1838,EFO:0002268,NCI-H1838,336,1
337,NCI-H1869,EFO:0006664,NCI-H1869,337,1
338,NCI-H1915,EFO:0006666,NCI-H1915,338,1
339,NCI-H1930,EFO:0002270,NCI-H1930,339,1
340,NCI-H1944,EFO:0006667,NCI-H1944,340,1
341,NCI-H196,EFO:0006668,NCI-H196,341,1
342,NCI-H1975,EFO:0002271,NCI-H1975,342,1
343,NCI-H2009,EFO:0002273,NCI-H2009,343,1
344,NCI-H2023,EFO:0006669,NCI-H2023,344,1
345,NCI-H2030,EFO:0002274,NCI-H2030,345,1
346,NCI-H2052,EFO:0002275,NCI-H2052,346,1
347,NCI-H2073,EFO:0006670,NCI-H2073,347,1
348,NCI-H2081,EFO:0002276,NCI-H2081,348,1
349,NCI-H2087,EFO:0002277,NCI-H2087,349,1
350,NCI-H209,EFO:0006671,NCI-H209,350,1
351,NCI-H2106,EFO:0006672,NCI-H2106,351,1
352,NCIH2107,EFO:0002278,NCI-H2107,352,1
353,NCI-H2110,EFO:0006673,NCI-H2110,353,1
354,NCI-H2122,EFO:0002279,NCI-H2122,354,1
355,NCI-H2126,EFO:0002280,NCI-H2126,355,1
356,NCI-H2170,EFO:0002281,NCI-H2170,356,1
357,NCI-H2171,EFO:0002282,NCI-H2171,357,1
358,NCI-H2172,EFO:0006675,NCI-H2172,358,1
359,NCI-H2196,EFO:0006676,NCI-H2196,359,1
360,NCI-H2228,EFO:0002284,NCI-H2228,360,1
361,NCI-H226,EFO:0002285,NCI-H226,361,1
362,NCI-H2347,EFO:0002287,NCI-H2347,362,1
363,NCI-H23,EFO:0002286,NCI-H23,363,1
364,NCI-H2405,EFO:0002288,NCI-H2405,364,1
365,NCI-H2452,EFO:0006680,NCI-H2452,365,1
366,NCI-H28,EFO:0006686,NCI-H28,366,1
367,NCI-H292,EFO:0006690,NCI-H292,367,1
368,NCI-H322,EFO:0006691,NCI-H322T,368,1
369,NCI-H3255,EFO:0003123,NCI-H3255,369,1
370,NCI-H358,EFO:0002291,NCI-H358,370,1
371,NCI-H441,EFO:0002292,NCI-H441,371,1
372,NCI-H446,EFO:0002293,NCI-H446,372,1
373,NCI-H460,EFO:0003044,NCI-H460,373,1
374,NCI-H508,EFO:0002294,NCI-H508,374,1
375,NCI-H520,EFO:0003124,NCI-H520,375,1
376,NCI-H522,EFO:0002295,NCI-H522,376,1
377,NCI-H524,EFO:0002296,NCI-H524,377,1
378,NCI-H596,EFO:0006694,NCI-H596,378,1
379,NCI-H650,EFO:0002298,NCI-H650,379,1
380,NCI-H661,EFO:0002299,NCI-H661,380,1
381,NCI-H69,EFO:0002300,NCI-H69,381,1
382,NCI-H716,EFO:0002301,NCI-H716,382,1
383,NCI-H727,EFO:0006695,NCI-H727,383,1
384,NCI-H747,EFO:0002303,NCI-H747,384,1
385,NCI-H810,EFO:0002305,NCI-H810,385,1
386,NCI-H82,EFO:0002306,NCI-H82,386,1
387,NCI-H838,EFO:0002307,NCI-H838,387,1
388,NCI-H889,EFO:0006697,NCI-H889,388,1
389,NCI-H929,EFO:0001221,NCI-H929,389,1
390,NCI-N87,EFO:0002841,NCI-N87,390,1
391,NU-DUL-1,EFO:0006700,NU-DUL-1,391,1
392,NUGC-2,EFO:0006701,NUGC-2,392,1
393,NUGC-3,EFO:0006702,NUGC-3,393,1
394,NUGC-4,EFO:0006703,NUGC-4,394,1
395,OAW28,EFO:0006704,OAW28,395,1
396,OAW42,EFO:0006705,OAW42,396,1
397,OCI-AML2,EFO:0006706,OCI-AML2,397,1
398,OCI-AML3,EFO:0006289,OCI-AML3,398,1
399,OCI-AML5,EFO:0006707,OCI-AML5,399,1
400,OCI-LY10,EFO:0006708,OCI-LY10,400,1
401,OCI-LY-19,EFO:0006709,OCI-LY19,401,1
402,OCI-LY3,EFO:0006710,OCI-LY3,402,1
403,OCI-M1,EFO:0006712,OCI-M1,403,1
404,OCUM-1,EFO:0006714,OCUM-1,404,1
405,OE19,EFO:0002308,OE19,405,1
406,OE21,EFO:0002309,OE21,406,1
407,OE33,EFO:0002310,OE33,407,1
408,OPM-2,EFO:0006716,OPM-2,408,1
409,OUMS-23,EFO:0006717,OUMS-23,409,1
410,OV56,EFO:0006458,OV56,410,1
411,OV7,EFO:0006459,OV7,411,1
412,OV-90,EFO:0002311,OV90,412,1
413,OVCA432,EFO:0006722,OVCA432,413,1
414,OVCAR-4,EFO:0005442,OVCAR4,414,1
415,OVCAR-5,EFO:0005443,OVCAR5,415,1
416,OVCAR-8,EFO:0005444,OVCAR8,416,1
417,OVISE,EFO:0006724,OVISE,417,1
418,OVKATE,EFO:0006725,OVKATE,418,1
419,OVMANA,EFO:0006726,OVMANA,419,1
420,OVSAHO,EFO:0006727,OVSAHO,420,1
421,OVTOKO,EFO:0006728,OVTOKO,421,1
422,P3HR-1,EFO:0002312,P3HR1,422,1
423,Panc 02.03,EFO:0006466,Panc 02.03,423,1
424,Panc 03.27,EFO:0006467,Panc 03.27,424,1
425,Panc 04.03,EFO:0006468,Panc 04.03,425,1
426,Panc 05.04,EFO:0006469,Panc 05.04,426,1
427,Panc 08.13,EFO:0006470,Panc 08.13,427,1
428,PANC-1,EFO:0002713,Panc1,428,1
429,PA-TU-8902,EFO:0006729,PA-TU-8902,429,1
430,PA-TU-8988S,EFO:0006730,PA-TU-8988S,430,1
431,PA-TU-8988T,EFO:0005713,8988T,431,1
432,PC-14,EFO:0002844,PC-14,432,1
433,PE/CA-PJ15,EFO:0006733,PE/CA-PJ15,433,1
434,Pfeiffer,EFO:0006472,Pfeiffer,434,1
435,PK-45H,EFO:0006734,PK-45H,435,1
436,PK-59,EFO:0006736,PK-59,436,1
437,PL-21,EFO:0006473,PL-21,437,1
438,PL45,EFO:0006474,PL45,438,1
439,PLB-985,EFO:0002313,PLB985,439,1
440,PLC/PRF/5,EFO:0006291,PLC/PRF/5,440,1
441,PSN1,EFO:0006739,PSN1,441,1
442,QGP-1,EFO:0006741,QGP-1,442,1
443,Raji,EFO:0002324,Raji,443,1
444,RCH-ACV,EFO:0002314,RCHACV,444,1
445,RCM-1,EFO:0006476,RCM-1,445,1
446,RD-ES,EFO:0002316,RDES,446,1
447,RD,EFO:0002315,RD,447,1
448,REC-1,EFO:0002317,REC1,448,1
449,RERF-GC-1B,EFO:0006743,RERF-GC-1B,449,1
450,RERF-LC-AI,EFO:0002850,RERF-LC-AI,450,1
451,RERF-LC-KJ,EFO:0002851,RERF-LC-KJ,451,1
452,RERF-LC-MS,EFO:0002852,RERF-LC-MS,452,1
453,RI-1,EFO:0006477,RI-1,453,1
454,RKN,EFO:0006745,RKN,454,1
455,RKO,EFO:0001232,RKO,455,1
456,RL95-2,EFO:0002320,RL952,456,1
457,RL,EFO:0002319,RL,457,1
458,RMG-I,EFO:0006746,RMG-I,458,1
459,RMUG-S,EFO:0006747,RMUG-S,459,1
460,RT-112,EFO:0006479,RT-112,460,1
461,RT4,EFO:0006480,RT4,461,1
462,SBC-5,EFO:0002855,SBC-5,462,1
463,SCaBER,EFO:0002325,SCaBER,463,1
464,SCC-15,EFO:0006482,SCC-15,464,1
465,SCC-25,EFO:0006483,SCC-25,465,1
466,SCC-9,EFO:0006485,SCC-9,466,1
467,SCLC-21H,EFO:0006749,SCLC-21H,467,1
468,SEM,EFO:0002326,SEM,468,1
469,Set-2,EFO:0006486,SET-2,469,1
470,SF126,EFO:0005450,SF126,470,1
471,SF268,EFO:0005451,SF268,471,1
472,SF-295,EFO:0005452,SF295,472,1
473,SF539,EFO:0005453,SF539,473,1
474,SH-4,EFO:0002327,SH4,474,1
475,SHP-77,EFO:0002328,SHP77,475,1
476,SH-SY5Y,EFO:0002717,SH-SY5Y,476,1
477,SIG-M5,EFO:0006751,SIG-M5,477,1
478,SIHA,EFO:0002379,SiHa,478,1
479,SJRH30,EFO:0002329,SJRH30,479,1
480,SJSA-1,EFO:0002330,SJSA1,480,1
481,SK-BR-3,EFO:0001236,SKBR3,481,1
482,SK-CO-1,EFO:0006752,SK-CO-1,482,1
483,SK-ES-1,EFO:0002858,SK-ES-1,483,1
484,SK-LMS-1,EFO:0002331,SKLMS1,484,1
485,SKM-1,EFO:0006753,SKM-1,485,1
486,SK-MEL-1,EFO:0002332,SKMEL1,486,1
487,SK-MEL-24,EFO:0006487,SK-MEL-24,487,1
488,SK-MEL-28,EFO:0003081,SK-MEL-28,488,1
489,SK-MEL-2,EFO:0002079,SK-MEL-2,489,1
490,SK-MEL-30,EFO:0006488,SK-MEL-30,490,1
491,SK-MEL-31,EFO:0006489,SK-MEL-31,491,1
492,SK-MEL-3,EFO:0002333,SKMEL3,492,1
493,SK-MEL-5,EFO:0005720,SK-MEL-5,493,1
494,SK-MES-1,EFO:0002334,SKMES1,494,1
495,SK-MM-2,EFO:0005458,SK-MM-2,495,1
496,SK-N-AS,EFO:0002859,SK-N-AS,496,1
497,SK-N-DZ,EFO:0005721,SK-N-DZ,497,1
498,SK-N-FI,EFO:0002338,SKNFI,498,1
499,SK-N-MC,EFO:0002860,SK-N-MC,499,1
500,SK-N-SH,EFO:0003072,SK-N-SH,500,1
501,SK-OV-3,EFO:0002340,SKOV3,501,1
502,SK-UT-1,EFO:0002341,SKUT1,502,1
503,SNB-19,EFO:0002342,SNB19,503,1
504,SNU-16,EFO:0002344,SNU16,504,1
505,SNU-182,EFO:0002345,SNU182,505,1
506,SNU-1,EFO:0002343,SNU1,506,1
507,SNU-216,EFO:0006754,SNU-216,507,1
508,SNU-387,EFO:0002346,SNU387,508,1
509,SNU-398,EFO:0002347,SNU398,509,1
510,SNU-423,EFO:0002348,SNU423,510,1
511,SNU-449,EFO:0002349,SNU449,511,1
512,SNU-475,EFO:0002350,SNU475,512,1
513,SNU-5,EFO:0002351,SNU5,513,1
514,SNU-601,EFO:0006756,SNU-601,514,1
515,SNU-620,EFO:0006757,SNU-620,515,1
516,SNU-668,EFO:0006759,SNU-668,516,1
517,SNU-719,EFO:0006760,SNU-719,517,1
518,SNU-C1,EFO:0006761,SNU-C1,518,1
519,SR-786,EFO:0006491,SR-786,519,1
520,ST486,EFO:0002353,ST486,520,1
521,SU.86.86,EFO:0006494,SU.86.86,521,1
522,SU-DHL-10,EFO:0002354,SUDHL10,522,1
