query,ref_match,ref_match_id
KARPAS-422,Karpas 422,EFO:0005719
KARPAS-620,KARPAS-620,EFO:0006449
KASUMI-1,Kasumi-1,EFO:0006607
KASUMI-2,Kasumi2,EFO:0002224
KCI-MOH1,KCI-MOH1,EFO:0006608
KELLY,KELLY,EFO:0002069
KG-1,KG1,EFO:0002218
KHM-1B,KHM-1B,EFO:0006609
KLE,KLE,EFO:0002220
KLM-1,KLM-1,EFO:0006610
KM12,KM12,EFO:0006282
KMM-1,KMM-1,EFO:0006611
KMS-11,KMS-11,EFO:0005694
KMS-12-BM,KMS-12-BM,EFO:0006612
KMS-21BM,KMS-21-BM,EFO:0006614
KMS-26,KMS-26,EFO:0006615
KMS-27,KMS-27,EFO:0006616
KMS-28BM,KMS-28BM,EFO:0006617
KMS-34,KMS-34,EFO:0006619
KNS-62,KNS-62,EFO:0006620
KP-2,KP-2,EFO:0006621
KP-3,KP-3,EFO:0006622
KP4,KP-4,EFO:0006623
KPL-1,KPL1,EFO:0002221
KU812,KU812,EFO:0002222
KURAMOCHI,KURAMOCHI,EFO:0006625
KYSE-140,KYSE-140,EFO:0006626
KYSE-150,KYSE-150,EFO:0006627
KYSE-180,KYSE-180,EFO:0006628
KYSE-270,KYSE-270,EFO:0006629
KYSE-30,KYSE30,EFO:0002223
KYSE-450,KYSE-450,EFO:0006630
KYSE-510,KYSE-510,EFO:0006631
KYSE-520,KYSE-520,EFO:0006632
KYSE-70,KYSE-70,EFO:0006633
L-363,L-363,EFO:0006450
L-428,L428,EFO:0002225
LC-1F,LC-1F,EFO:0002827
LCLC-103H,LCLC-103H,EFO:0006634
LCLC-97TM1,LCLC-97TM1,EFO:0006635
LN-18,LN-18,EFO:0006636
LN-229,LN-229,EFO:0006637
LNCaP clone FGC,LNCaP clone FGC,EFO:0005726
Loucy,Loucy,EFO:0007112
LOU-NH91,LOU-NH91,EFO:0006638
LoVo,LoVo,EFO:0006639
LOX IMVI,LOXIMVI,EFO:0006284
LS1034,LS1034,EFO:0002226
LS 180,LS 180,EFO:0006640
LXF-289,LXF-289,EFO:0006641
M059K,M059K,EFO:0006451
Malme-3M,Malme3M,EFO:0002243
MC116,MC116,EFO:0002228
MCAS,MCAS,EFO:0006453
MDA-MB-134-VI,MDAMB134VI,EFO:0001205
MDA-MB-157,MDAMB157,EFO:0001206
MDA-MB-175-VII,MDAMB175VII,EFO:0001208
MDA-MB-231,MDAMB231,EFO:0001209
MDA-MB-361,MDAMB361,EFO:0001211
MDA-MB-415,MDAMB415,EFO:0001212
MDA-MB-436,MDAMB436,EFO:0001214
MDA-MB-453,MDAMB453,EFO:0001215
MDA-MB-468,MDAMB468,EFO:0001216
MDST8,MDST8,EFO:0006644
ME-1,ME-1,EFO:0006645
MEC-1,MEC1,EFO:0002231
MEC-2,MEC2,EFO:0006285
MEG-01,MEG01,EFO:0002232
MEL-HO,MEL-HO,EFO:0006647
MES-SA,MESSA,EFO:0002233
MeWo,MeWo,EFO:0006648
MG-63,MG63,EFO:0002234
MHH-ES-1,MHH-ES-1,EFO:0006650
MHH-NB-11,MHH-NB-11,EFO:0006651
MIA PaCa-2,MIA Paca-2,EFO:0002236
MJ,MJ,EFO:0002237
MOLM-16,MOLM-16,EFO:0006652
MOLP-2,MOLP-2,EFO:0006653
MOLP-8,MOLP-8,EFO:0006654
MOLT-16,MOLT16,EFO:0002239
MOLT-3,MOLT-3,EFO:0005265
MOLT-4,MOLT-4,EFO:0001220
MONO-MAC-6,Mono Mac 6,EFO:0006287
MUTZ-3,MUTZ-3,EFO:0005395
NALM-1,NALM1,EFO:0002244
NALM-6,NALM6,EFO:0002245
NAMALWA,NAMALWA,EFO:0002246
NB-4,NB4,EFO:0002798
NCI-H1092,NCI-H1092,EFO:0002249
NCI-H1155,NCI-H1155,EFO:0002250
NCI-H1299,NCI-H1299,EFO:0003043
NCI-H1355,NCI-H1355,EFO:0002251
NCI-H1373,NCI-H1373,EFO:0006657
NCI-H1395,NCI-H1395,EFO:0002252
NCI-H1435,NCI-H1435,EFO:0006658
NCI-H1436,NCI-H1436,EFO:0002253
NCI-H1437,NCI-H1437,EFO:0002254
NCI-H146,NCI-H146,EFO:0006659
NCI-H1563,NCI-H1563,EFO:0002255
NCI-H1568,NCI-H1568,EFO:0006660
NCI-H1573,NCI-H1573,EFO:0002256
NCI-H1581,NCI-H1581,EFO:0002257
NCI-H1618,NCI-H1618,EFO:0002258
NCI-H1623,NCI-H1623,EFO:0002259
NCI-H1648,NCI-H1648,EFO:0003119
NCI-H1650,NCI-H1650,EFO:0002260
NCI-H1651,NCI-H1651,EFO:0002261
NCI-H1666,NCI-H1666,EFO:0002262
NCI-H1693,NCI-H1693,EFO:0006661
NCI-H1694,NCI-H1694,EFO:0002263
NCI-H1703,NCI-H1703,EFO:0002264
NCI-H1734,NCI-H1734,EFO:0006662
NCI-H1781,NCI-H1781,EFO:0006663
NCI-H1792,NCI-H1792,EFO:0002266
NCI-H1793,NCI-H1793,EFO:0002267
NCI-H1838,NCI-H1838,EFO:0002268
NCI-H1869,NCI-H1869,EFO:0006664
NCI-H1915,NCI-H1915,EFO:0006666
NCI-H1930,NCI-H1930,EFO:0002270
NCI-H1944,NCI-H1944,EFO:0006667
NCI-H196,NCI-H196,EFO:0006668
NCI-H1975,NCI-H1975,EFO:0002271
NCI-H2009,NCI-H2009,EFO:0002273
NCI-H2023,NCI-H2023,EFO:0006669
NCI-H2030,NCI-H2030,EFO:0002274
NCI-H2052,NCI-H2052,EFO:0002275
NCI-H2073,NCI-H2073,EFO:0006670
NCI-H2081,NCI-H2081,EFO:0002276
NCI-H2087,NCI-H2087,EFO:0002277
NCI-H209,NCI-H209,EFO:0006671
NCI-H2106,NCI-H2106,EFO:0006672
NCIH2107,NCI-H2107,EFO:0002278
NCI-H2110,NCI-H2110,EFO:0006673
NCI-H2122,NCI-H2122,EFO:0002279
NCI-H2126,NCI-H2126,EFO:0002280
NCI-H2170,NCI-H2170,EFO:0002281
NCI-H2171,NCI-H2171,EFO:0002282
NCI-H2172,NCI-H2172,EFO:0006675
NCI-H2196,NCI-H2196,EFO:0006676
NCI-H2228,NCI-H2228,EFO:0002284
NCI-H226,NCI-H226,EFO:0002285
NCI-H2347,NCI-H2347,EFO:0002287
NCI-H23,NCI-H23,EFO:0002286
NCI-H2405,NCI-H2405,EFO:0002288
NCI-H2452,NCI-H2452,EFO:0006680
NCI-H28,NCI-H28,EFO:0006686
NCI-H292,NCI-H292,EFO:0006690
NCI-H322,NCI-H322T,EFO:0006691
NCI-H3255,NCI-H3255,EFO:0003123
NCI-H358,NCI-H358,EFO:0002291
NCI-H441,NCI-H441,EFO:0002292
NCI-H446,NCI-H446,EFO:0002293
NCI-H460,NCI-H460,EFO:0003044
NCI-H508,NCI-H508,EFO:0002294
NCI-H520,NCI-H520,EFO:0003124
NCI-H522,NCI-H522,EFO:0002295
NCI-H524,NCI-H524,EFO:0002296
NCI-H596,NCI-H596,EFO:0006694
NCI-H650,NCI-H650,EFO:0002298
NCI-H661,NCI-H661,EFO:0002299
NCI-H69,NCI-H69,EFO:0002300
NCI-H716,NCI-H716,EFO:0002301
NCI-H727,NCI-H727,EFO:0006695
NCI-H747,NCI-H747,EFO:0002303
NCI-H810,NCI-H810,EFO:0002305
NCI-H82,NCI-H82,EFO:0002306
NCI-H838,NCI-H838,EFO:0002307
NCI-H889,NCI-H889,EFO:0006697
NCI-H929,NCI-H929,EFO:0001221
NCI-N87,NCI-N87,EFO:0002841
NU-DUL-1,NU-DUL-1,EFO:0006700
NUGC-2,NUGC-2,EFO:0006701
NUGC-3,NUGC-3,EFO:0006702
NUGC-4,NUGC-4,EFO:0006703
OAW28,OAW28,EFO:0006704
OAW42,OAW42,EFO:0006705
OCI-AML2,OCI-AML2,EFO:0006706
OCI-AML3,OCI-AML3,EFO:0006289
OCI-AML5,OCI-AML5,EFO:0006707
OCI-LY10,OCI-LY10,EFO:0006708
OCI-LY-19,OCI-LY19,EFO:0006709
OCI-LY3,OCI-LY3,EFO:0006710
OCI-M1,OCI-M1,EFO:0006712
OCUM-1,OCUM-1,EFO:0006714
OE19,OE19,EFO:0002308
OE21,OE21,EFO:0002309
OE33,OE33,EFO:0002310
OPM-2,OPM-2,EFO:0006716
OUMS-23,OUMS-23,EFO:0006717
OV56,OV56,EFO:0006458
OV7,OV7,EFO:0006459
OV-90,OV90,EFO:0002311
OVCA432,OVCA432,EFO:0006722
OVCAR-4,OVCAR4,EFO:0005442
OVCAR-5,OVCAR5,EFO:0005443
OVCAR-8,OVCAR8,EFO:0005444
OVISE,OVISE,EFO:0006724
OVKATE,OVKATE,EFO:0006725
OVMANA,OVMANA,EFO:0006726
OVSAHO,OVSAHO,EFO:0006727
OVTOKO,OVTOKO,EFO:0006728
P3HR-1,P3HR1,EFO:0002312
Panc 02.03,Panc 02.03,EFO:0006466
Panc 03.27,Panc 03.27,EFO:0006467
Panc 04.03,Panc 04.03,EFO:0006468
Panc 05.04,Panc 05.04,EFO:0006469
Panc 08.13,Panc 08.13,EFO:0006470
PANC-1,Panc1,EFO:0002713
PA-TU-8902,PA-TU-8902,EFO:0006729
PA-TU-8988S,PA-TU-8988S,EFO:0006730
PA-TU-8988T,8988T,EFO:0005713
PC-14,PC-14,EFO:0002844
PE/CA-PJ15,PE/CA-PJ15,EFO:0006733
Pfeiffer,Pfeiffer,EFO:0006472
PK-45H,PK-45H,EFO:0006734
PK-59,PK-59,EFO:0006736
PL-21,PL-21,EFO:0006473
PL45,PL45,EFO:0006474
PLB-985,PLB985,EFO:0002313
PLC/PRF/5,PLC/PRF/5,EFO:0006291
PSN1,PSN1,EFO:0006739
QGP-1,QGP-1,EFO:0006741
Raji,Raji,EFO:0002324
RCH-ACV,RCHACV,EFO:0002314
RCM-1,RCM-1,EFO:0006476
RD-ES,RDES,EFO:0002316
RD,RD,EFO:0002315
REC-1,REC1,EFO:0002317
RERF-GC-1B,RERF-GC-1B,EFO:0006743
RERF-LC-AI,RERF-LC-AI,EFO:0002850
RERF-LC-KJ,RERF-LC-KJ,EFO:0002851
RERF-LC-MS,RERF-LC-MS,EFO:0002852
RI-1,RI-1,EFO:0006477
RKN,RKN,EFO:0006745
RKO,RKO,EFO:0001232
RL95-2,RL952,EFO:0002320
RL,RL,EFO:0002319
RMG-I,RMG-I,EFO:0006746
RMUG-S,RMUG-S,EFO:0006747
RT-112,RT-112,EFO:0006479
RT4,RT4,EFO:0006480
SBC-5,SBC-5,EFO:0002855
SCaBER,SCaBER,EFO:0002325
SCC-15,SCC-15,EFO:0006482
SCC-25,SCC-25,EFO:0006483
SCC-9,SCC-9,EFO:0006485
SCLC-21H,SCLC-21H,EFO:0006749
SEM,SEM,EFO:0002326
Set-2,SET-2,EFO:0006486
SF126,SF126,EFO:0005450
SF268,SF268,EFO:0005451
SF-295,SF295,EFO:0005452
SF539,SF539,EFO:0005453
SH-4,SH4,EFO:0002327
SHP-77,SHP77,EFO:0002328
SH-SY5Y,SH-SY5Y,EFO:0002717
SIG-M5,SIG-M5,EFO:0006751
SIHA,SiHa,EFO:0002379
SJRH30,SJRH30,EFO:0002329
SJSA-1,SJSA1,EFO:0002330
SK-BR-3,SKBR3,EFO:0001236
SK-CO-1,SK-CO-1,EFO:0006752
SK-ES-1,SK-ES-1,EFO:0002858
SK-LMS-1,SKLMS1,EFO:0002331
SKM-1,SKM-1,EFO:0006753
SK-MEL-1,SKMEL1,EFO:0002332
SK-MEL-24,SK-MEL-24,EFO:0006487
SK-MEL-28,SK-MEL-28,EFO:0003081
SK-MEL-2,SK-MEL-2,EFO:0002079
SK-MEL-30,SK-MEL-30,EFO:0006488
SK-MEL-31,SK-MEL-31,EFO:0006489
SK-MEL-3,SKMEL3,EFO:0002333
SK-MEL-5,SK-MEL-5,EFO:0005720
SK-MES-1,SKMES1,EFO:0002334
SK-MM-2,SK-MM-2,EFO:0005458
SK-N-AS,SK-N-AS,EFO:0002859
SK-N-DZ,SK-N-DZ,EFO:0005721
SK-N-FI,SKNFI,EFO:0002338
SK-N-MC,SK-N-MC,EFO:0002860
SK-N-SH,SK-N-SH,EFO:0003072
SK-OV-3,SKOV3,EFO:0002340
SK-UT-1,SKUT1,EFO:0002341
SNB-19,SNB19,EFO:0002342
SNU-16,SNU16,EFO:0002344
SNU-182,SNU182,EFO:0002345
SNU-1,SNU1,EFO:0002343
SNU-216,SNU-216,EFO:0006754
SNU-387,SNU387,EFO:0002346
SNU-398,SNU398,EFO:0002347
SNU-423,SNU423,EFO:0002348
SNU-449,SNU449,EFO:0002349
SNU-475,SNU475,EFO:0002350
SNU-5,SNU5,EFO:0002351
SNU-601,SNU-601,EFO:0006756
SNU-620,SNU-620,EFO:0006757
SNU-668,SNU-668,EFO:0006759
SNU-719,SNU-719,EFO:0006760
SNU-C1,SNU-C1,EFO:0006761
SR-786,SR-786,EFO:0006491
ST486,ST486,EFO:0002353
SU.86.86,SU.86.86,EFO:0006494
SU-DHL-10,SUDHL10,EFO:0002354
SU-DHL-1,SUDHL1,EFO:0005461
SU-DHL-4,SU-DHL-4,EFO:0006492
SU-DHL-5,SUDHL5,EFO:0002356
SU-DHL-6,SUDHL6,EFO:0002357
SU-DHL-8,SU-DHL-8,EFO:0006493
SUIT-2,SUIT-2,EFO:0006495
SUP-B15,SUP-B15,EFO:0006763
SW1116,SW1116,EFO:0002359
SW1417,SW1417,EFO:0002361
SW1463,SW1463,EFO:0002362
SW403,SW403,EFO:0002366
SW480,SW480,EFO:0002083
SW48,SW48,EFO:0002367
SW620,SW620,EFO:0002368
SW837,SW837,EFO:0002372
SW948,SW948,EFO:0002375
T24,T24,EFO:0002864
T3M-4,Panc89,EFO:0002714
T-47D,T47D,EFO:0001247
T84,T84,EFO:0002084
TC-71,TC71,EFO:0002865
TCC-PAN2,TCC-PAN2,EFO:0006764
THP-1,THP-1,EFO:0001253
Toledo,Toledo,EFO:0002383
TOV-112D,TOV-112D,EFO:0005263
TT,TT,EFO:0002382
TYK-nu,TYK-nu,EFO:0006766
U-251 MG,U-251 MG,EFO:0006498
U266B1,U266,EFO:0001254
U-87 MG,U-87 MG,EFO:0005237
U-937,U937,EFO:0001257
UACC-257,UACC-257,EFO:0005376
UACC-62,UACC-62,EFO:0005377
UACC-812,UACC812,EFO:0001258
UACC-893,UACC893,EFO:0002385
UM-UC-1,UM-UC-1,EFO:0006770
UM-UC-3,UM-UC-3,EFO:0006771
VCaP,VCaP,EFO:0007752
VMRC-LCD,VMRC-LCD,EFO:0006773
WM-115,WM115,EFO:0002390
WM-266-4,WM-266-4,EFO:0006774
WM-793,WM793,EFO:0002873
WSU-DLCL2,WSU-DLCL2,EFO:0006775
YAPC,YAPC,EFO:0006778
YMB-1,YMB-1,EFO:0006779
ZR-75-1,ZR751,EFO:0001262
ZR-75-30,ZR7530,EFO:0001263
COR-L23 cell,CORL23,EFO:0002142
HS-5 cell,HS-5,EFO:0005282
MDA-MB-231 cell,MDAMB231,EFO:0001209
LNCaP cell,LNCAP,EFO:0002071
mineral metabolism disease,mineral metabolism disease,EFO:0009556
chronic venous insufficiency,chronic venous insufficiency,EFO:0007940
ovarian serous carcinoma,ovarian serous carcinoma,EFO:1001516
spinocerebellar ataxia type 38,Spinocerebellar ataxia type 38,EFO:0009056
spinocerebellar ataxia type 40,Spinocerebellar ataxia type 40,EFO:0009057
progesterone-receptor positive breast cancer,progesterone-receptor positive breast cancer,EFO:0009782
osteoblastoma,Osteoblastoma,EFO:1000410
cardiac arrest,cardiac arrest,EFO:0009492
cervical polyp,cervical polyp,EFO:0009475
purpura fulminans,Purpura Fulminans,EFO:1001913
intrahepatic cholestasis of pregnancy,Intrahepatic cholestasis of pregnancy,EFO:0009048
childhood acute myeloid leukemia,childhood acute myeloid leukemia,EFO:0000330
"neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies","neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies",EFO:0010561
mucositis,mucositis,EFO:1001898
polycystic kidney disease,Polycystic Kidney Disease,EFO:0008620
dedifferentiated liposarcoma,dedifferentiated liposarcoma,EFO:0003085
non-alcoholic fatty liver,non-alcoholic fatty liver,EFO:1001248
non-alcoholic steatohepatitis,non-alcoholic steatohepatitis,EFO:1001249
RASopathy,rasopathy,EFO:1001502
antisynthetase syndrome,Antisynthetase syndrome,EFO:1001982
polymyositis,polymyositis,EFO:0003063
lung sarcomatoid carcinoma,Lung Sarcomatoid Carcinoma,EFO:1000336
acute erythroid leukemia,acute erythroleukemia,EFO:0000218
urinary tract infection,urinary tract infection,EFO:0003103
childhood acute megakaryoblastic leukemia,childhood acute megakaryoblastic leukemia,EFO:1001943
acute basophilic leukemia,acute basophilic leukemia,EFO:0003029
core binding factor acute myeloid leukemia,core binding factor acute myeloid leukemia,EFO:1002001
sinonasal undifferentiated carcinoma,Sinonasal Undifferentiated Carcinoma,EFO:1000527
childhood-onset asthma,childhood onset asthma,EFO:0004591
latent autoimmune diabetes in adults,latent autoimmune diabetes in adults,EFO:0009706
pemphigus foliaceus,pemphigus foliaceus,EFO:0008601
IgA pemphigus,IgA pemphigus,EFO:0008604
paraneoplastic pemphigus,paraneoplastic pemphigus,EFO:0008602
cerebellofaciodental syndrome,Cerebellar-facial-dental syndrome,EFO:0009030
RIDDLE syndrome,RIDDLE syndrome,EFO:0009055
Bardet-Biedl syndrome 1,Bardet-Biedl syndrome 1,EFO:0009021
Bardet-Biedl syndrome 4,Bardet-Biedl syndrome 4,EFO:0009024
Bardet-Biedl syndrome 5,Bardet-Biedl syndrome 5,EFO:0009025
Bardet-Biedl syndrome 7,Bardet-Biedl syndrome 7,EFO:0009026
Bardet-Biedl syndrome 9,Bardet-Biedl syndrome 9,EFO:0009027
Bardet-Biedl syndrome 10,Bardet-Biedl syndrome 10,EFO:0009022
Bardet-Biedl syndrome 12,Bardet-Biedl syndrome 12,EFO:0009023
Fanconi anemia complementation group G,Fanconi anemia complementation group G,EFO:0009046
Fanconi anemia complementation group F,Fanconi anemia complementation group F,EFO:0009045
Fanconi anemia complementation group A,Fanconi anemia complementation group A,EFO:0009044
combined oxidative phosphorylation deficiency 33,combined oxidative phosphorylation deficiency 33,EFO:0009159
scapuloperoneal spinal muscular atrophy,Scapuloperoneal spinal muscular atrophy,EFO:1001992
Charcot-Marie-Tooth disease type 1G,Charcot-Marie-Tooth disease type 1G,EFO:0010266
ACTH-independent macronodular adrenal hyperplasia 2,acth-independent macronodular adrenal hyperplasia 2,EFO:0009148
neurooculocardiogenitourinary syndrome,neurooculocardiogenitourinary syndrome,EFO:0010663
Shukla-Vernon syndrome,Shukla-Vernon syndrome,EFO:0010278
Paganini-Miozzo syndrome,Paganini-Miozzo syndrome,EFO:0010261
osteomalacia,osteomalacia,EFO:1002027
hyperandrogenism,hyperandrogenism,EFO:0009006
endometrial stromal nodule,Endometrial Stromal Nodule,EFO:1000241
amenorrhea,amenorrhea,EFO:0010269
uterine corpus lipoleiomyoma,Uterine Corpus Lipoleiomyoma,EFO:1000614
peritoneal mesothelioma,Peritoneal Mesothelioma,EFO:1000467
hyperuricemia,hyperuricemia,EFO:0009104
neuroma,neuroma,EFO:0009619
choroid plexus papilloma,Choroid Plexus Papilloma,EFO:1000177
motion sickness,motion sickness,EFO:0006928
ovarian gonadoblastoma,Ovarian Gonadoblastoma,EFO:1000420
