query,ref_match,ref_match_id
spinal cord,obsolete_spinal cord,EFO:0000110
Ewing sarcoma,obsolete_Ewing family tumor,EFO:0000173
Askin's tumor,Ewing sarcoma,EFO:0000174
Ewing sarcoma,Ewing sarcoma,EFO:0000174
Ewing sarcoma,Ewing sarcoma,EFO:0000174
Ewing sarcoma,Ewing sarcoma,EFO:0000174
Ewing Sarcoma,Ewing sarcoma,EFO:0000174
Askin Tumor,Ewing sarcoma,EFO:0000174
Peripheral Primitive Neuroectodermal Tumor,Ewing sarcoma,EFO:0000174
gastric fundus cancer,gastric carcinoma,EFO:0000178
stomach carcinoma,gastric carcinoma,EFO:0000178
gastric carcinoma,gastric carcinoma,EFO:0000178
gastric carcinoma,gastric carcinoma,EFO:0000178
Gastric Carcinoma,gastric carcinoma,EFO:0000178
head and neck squamous cell carcinoma,head and neck squamous cell carcinoma,EFO:0000181
head and neck squamous cell carcinoma,head and neck squamous cell carcinoma,EFO:0000181
head and neck squamous cell carcinoma,head and neck squamous cell carcinoma,EFO:0000181
Head and Neck Squamous Cell Carcinoma,head and neck squamous cell carcinoma,EFO:0000181
hepatocellular carcinoma,hepatocellular carcinoma,EFO:0000182
liver carcinoma,hepatocellular carcinoma,EFO:0000182
hepatocellular carcinoma,hepatocellular carcinoma,EFO:0000182
hepatocellular carcinoma,hepatocellular carcinoma,EFO:0000182
Hepatocellular Carcinoma,hepatocellular carcinoma,EFO:0000182
Hodgkin's lymphoma,Hodgkins lymphoma,EFO:0000183
Hodgkins lymphoma,Hodgkins lymphoma,EFO:0000183
Hodgkins lymphoma,Hodgkins lymphoma,EFO:0000183
Hodgkin Lymphoma,Hodgkins lymphoma,EFO:0000183
invasive ductal carcinoma,invasive breast ductal carcinoma,EFO:0000186
invasive breast ductal carcinoma,invasive breast ductal carcinoma,EFO:0000186
invasive ductal breast carcinoma,invasive breast ductal carcinoma,EFO:0000186
Invasive Breast Carcinoma of No Special Type,invasive breast ductal carcinoma,EFO:0000186
Kaposi's sarcoma cell,Kaposi's sarcoma cell,EFO:0000187
extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,MALT lymphoma,EFO:0000191
MALT lymphoma,MALT lymphoma,EFO:0000191
MALT lymphoma,MALT lymphoma,EFO:0000191
Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue,MALT lymphoma,EFO:0000191
MELAS syndrome,obsolete_MELAS syndrome,EFO:0000192
malignant peripheral nerve sheath tumor,obsolete_malignant peripheral nerve sheath tumor class,EFO:0000194
abdominal obesity-metabolic syndrome 1,metabolic syndrome,EFO:0000195
metastatic prostate cancer,metastatic prostate cancer,EFO:0000196
metastatic prostate carcinoma,metastatic prostate cancer,EFO:0000196
Metastatic Prostate Carcinoma,metastatic prostate cancer,EFO:0000196
mucinous adenocarcinoma,mucinous carcinoma,EFO:0000197
mucinous carcinoma,mucinous carcinoma,EFO:0000197
mucinous adenocarcinoma,mucinous carcinoma,EFO:0000197
Mucinous Adenocarcinoma,mucinous carcinoma,EFO:0000197
myelodysplastic syndrome,myelodysplastic syndrome,EFO:0000198
myelodysplastic syndrome,myelodysplastic syndrome,EFO:0000198
myelodysplastic syndrome,myelodysplastic syndrome,EFO:0000198
Myelodysplastic Syndrome,myelodysplastic syndrome,EFO:0000198
oral squamous cell carcinoma,oral squamous cell carcinoma,EFO:0000199
oral squamous cell carcinoma,oral squamous cell carcinoma,EFO:0000199
oral cavity squamous cell carcinoma,oral squamous cell carcinoma,EFO:0000199
Oral Cavity Squamous Cell Carcinoma,oral squamous cell carcinoma,EFO:0000199
plasma cell neoplasm,plasma cell neoplasm,EFO:0000200
plasma cell neoplasm,plasma cell neoplasm,EFO:0000200
plasma cell neoplasm,plasma cell neoplasm,EFO:0000200
Plasma Cell Neoplasm,plasma cell neoplasm,EFO:0000200
monoclonal gammopathy of uncertain significance,monoclonal gammopathy,EFO:0000203
monoclonal gammopathy,monoclonal gammopathy,EFO:0000203
Monoclonal Gammopathy,monoclonal gammopathy,EFO:0000203
stage I endometrioid carcinoma,stage I endometrioid carcinoma,EFO:0000205
stage I endometrioid carcinoma,stage I endometrioid carcinoma,EFO:0000205
stage II endometrioid carcinoma,stage II endometrioid carcinoma,EFO:0000206
stage II endometrioid carcinoma,stage II endometrioid carcinoma,EFO:0000206
adult T-cell leukemia/lymphoma,T-cell acute lymphoblastic leukemia,EFO:0000209
T-cell acute lymphoblastic leukemia,T-cell acute lymphoblastic leukemia,EFO:0000209
T-cell acute lymphoblastic leukemia,T-cell acute lymphoblastic leukemia,EFO:0000209
T-cell acute lymphoblastic leukemia,T-cell acute lymphoblastic leukemia,EFO:0000209
T Acute Lymphoblastic Leukemia,T-cell acute lymphoblastic leukemia,EFO:0000209
lymphocyte,obsolete_T lymphocyte,EFO:0000210
unspecified peripheral T-cell lymphoma,unspecified peripheral T-cell lymphoma,EFO:0000211
"peripheral T-cell lymphoma, not otherwise specified",unspecified peripheral T-cell lymphoma,EFO:0000211
"Peripheral T-Cell Lymphoma, Not Otherwise Specified",unspecified peripheral T-cell lymphoma,EFO:0000211
nephroblastoma,obsolete_Wilms tumor,EFO:0000212
acinar cell carcinoma,acinar cell carcinoma,EFO:0000216
acinar cell carcinoma,acinar cell carcinoma,EFO:0000216
acinar cell carcinoma,acinar cell carcinoma,EFO:0000216
Acinar Cell Carcinoma,acinar cell carcinoma,EFO:0000216
gastritis,gastritis,EFO:0000217
Gastrit,gastritis,EFO:0000217
gastritis,gastritis,EFO:0000217
Gastritis,gastritis,EFO:0000217
acute erythroid leukemia,acute erythroleukemia,EFO:0000218
acute erythroid leukemia,acute erythroleukemia,EFO:0000218
Acute Erythroid Leukemia,acute erythroleukemia,EFO:0000218
obsolete precursor lymphoblastic lymphoma/leukemia,obsolete_acute lymphoblastic leukemia,EFO:0000219
lymphoid leukemia,acute lymphoblastic leukemia,EFO:0000220
acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO:0000220
acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO:0000220
Acute lymfatische leukemie,acute lymphoblastic leukemia,EFO:0000220
acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO:0000220
Acute Lymphoblastic Leukemia,acute lymphoblastic leukemia,EFO:0000220
acute monocytic leukemia,acute monocytic leukemia,EFO:0000221
acute monocytic leukemia,acute monocytic leukemia,EFO:0000221
acute monocytic leukemia,acute monocytic leukemia,EFO:0000221
Acute Monocytic Leukemia,acute monocytic leukemia,EFO:0000221
acute myeloid leukemia,acute myeloid leukemia,EFO:0000222
acute myeloid leukemia,acute myeloid leukemia,EFO:0000222
acute myeloid leukemia,acute myeloid leukemia,EFO:0000222
Acute Myeloid Leukemia,acute myeloid leukemia,EFO:0000222
acute myelomonocytic leukemia,acute myelomonocytic leukemia,EFO:0000223
acute myelomonocytic leukemia,acute myelomonocytic leukemia,EFO:0000223
acute myelomonocytic leukemia M4,acute myelomonocytic leukemia,EFO:0000223
Acute Myelomonocytic Leukemia,acute myelomonocytic leukemia,EFO:0000223
acute promyelocytic leukemia,acute promyelocytic leukemia,EFO:0000224
acute promyelocytic leukemia with PML-RARA,acute promyelocytic leukemia,EFO:0000224
acute promyelocytic leukemia,acute promyelocytic leukemia,EFO:0000224
acute promyelocytic leukemia,acute promyelocytic leukemia,EFO:0000224
Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,acute promyelocytic leukemia,EFO:0000224
acute quadriplegic myopathy,acute quadriplegic myopathy,EFO:0000225
adductor mandibulae complex,obsolete_adductor mandibulae complex,EFO:0000227
adenocarcinoma,adenocarcinoma,EFO:0000228
adenocarcinoma,adenocarcinoma,EFO:0000228
adenocarcinoma,adenocarcinoma,EFO:0000228
Adenocarcinoma,adenocarcinoma,EFO:0000228
adenohypophyseal placode,obsolete_adenohypophyseal placode,EFO:0000229
adenohypophysis,obsolete_adenohypophysis,EFO:0000230
adenohypophysis,obsolete_adenohypophysis,EFO:0000230
adenoid cystic carcinoma,adenoid cystic carcinoma,EFO:0000231
adenoid cystic carcinoma,adenoid cystic carcinoma,EFO:0000231
adenoid cystic carcinoma,adenoid cystic carcinoma,EFO:0000231
Adenoid Cystic Carcinoma,adenoid cystic carcinoma,EFO:0000231
adenoma,adenoma,EFO:0000232
adenoma,adenoma,EFO:0000232
adenoma,adenoma,EFO:0000232
Adenoma,adenoma,EFO:0000232
adenosquamous lung carcinoma,adenosquamous lung carcinoma,EFO:0000233
adenosquamous lung carcinoma,adenosquamous lung carcinoma,EFO:0000233
adenosquamous lung carcinoma,adenosquamous lung carcinoma,EFO:0000233
Lung Adenosquamous Carcinoma,adenosquamous lung carcinoma,EFO:0000233
adrenal cortex,obsolete_adrenal cortex,EFO:0000237
adrenal cortex,obsolete_adrenal cortex,EFO:0000237
adrenal gland cortex,obsolete_adrenal cortex,EFO:0000237
adrenal cortex,obsolete_adrenal cortex,EFO:0000237
adrenal gland pheochromocytoma,adrenal gland pheochromocytoma,EFO:0000239
adrenal gland pheochromocytoma,adrenal gland pheochromocytoma,EFO:0000239
adrenal gland pheochromocytoma,adrenal gland pheochromocytoma,EFO:0000239
Adrenal Gland Pheochromocytoma,adrenal gland pheochromocytoma,EFO:0000239
malpighian tubule,obsolete_Malpighian tubule,EFO:0000243
adult Malpighian tubule,obsolete_Malpighian tubule,EFO:0000243
Malpighian tubule,obsolete_Malpighian tubule,EFO:0000243
adult midgut progenitor cell,adult midgut precursor,EFO:0000244
Aicardi syndrome,obsolete_Aicardi syndrome,EFO:0000247
alveolar rhabdomyosarcoma,alveolar rhabdomyosarcoma,EFO:0000248
alveolar rhabdomyosarcoma,alveolar rhabdomyosarcoma,EFO:0000248
Alveolair rhabdomyosarcoom,alveolar rhabdomyosarcoma,EFO:0000248
alveolar rhabdomyosarcoma,alveolar rhabdomyosarcoma,EFO:0000248
Alveolar Rhabdomyosarcoma,alveolar rhabdomyosarcoma,EFO:0000248
Alzheimer's disease,obsolete_Alzheimer's disease,EFO:0000249
amnioserosa,obsolete_amnioserosa,EFO:0000250
amygdala,obsolete_amygdala,EFO:0000252
Amygdala,obsolete_amygdala,EFO:0000252
amygdala,obsolete_amygdala,EFO:0000252
amyotrophic lateral sclerosis,obsolete_amyotrophic lateral sclerosis,EFO:0000253
obsolete anal pad specific anlage,anal pad specific anlage,EFO:0000254
angioimmunoblastic T-cell lymphoma,angioimmunoblastic T-cell lymphoma,EFO:0000255
angioimmunoblastic T-cell lymphoma,angioimmunoblastic T-cell lymphoma,EFO:0000255
angioimmunoblastic T-cell lymphoma,angioimmunoblastic T-cell lymphoma,EFO:0000255
"Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type",angioimmunoblastic T-cell lymphoma,EFO:0000255
wing disc-derived cell-line,antennal primordium2,EFO:0000258
obsolete anterior endoderm anlage in statu nascendi,anterior endoderm anlage in statu nascendi,EFO:0000260
FBbt_00005524,anterior endoderm primordium,EFO:0000261
obsolete anterior spiracle specific anlage,anterior spiracle specific anlage,EFO:0000263
aorta,obsolete_aorta,EFO:0000265
adult aorta,obsolete_aorta,EFO:0000265
Aorta,obsolete_aorta,EFO:0000265
dorsal aorta,obsolete_aorta,EFO:0000265
aorta,obsolete_aorta,EFO:0000265
dorsal aorta,obsolete_aorta,EFO:0000265
aortic valve stenosis,aortic stenosis,EFO:0000266
apical meristem,obsolete_apical meristem,EFO:0000267
asthma,obsolete_asthma,EFO:0000270
malignant astrocytoma,obsolete_astrocytic tumor,EFO:0000271
malignant astrocytoma,astrocytoma,EFO:0000272
astrocytoma,astrocytoma,EFO:0000272
astrocytoma (excluding glioblastoma),astrocytoma,EFO:0000272
Astrocytoma,astrocytoma,EFO:0000272
Astrocytic Tumor,astrocytoma,EFO:0000272
atopic dermatitis,atopic eczema,EFO:0000274
atopic eczema,atopic eczema,EFO:0000274
Eczema,atopic eczema,EFO:0000274
atrial fibrillation,atrial fibrillation,EFO:0000275
Atrial fibrillation,atrial fibrillation,EFO:0000275
atrial fibrillation,atrial fibrillation,EFO:0000275
Atrial Fibrillation,atrial fibrillation,EFO:0000275
Atrioventricular node,obsolete_atrioventricular node,EFO:0000276
atrioventricular node,obsolete_atrioventricular node,EFO:0000276
myotome somite 14,obsolete_atrioventricular node,EFO:0000276
atrium,obsolete_cardiac atrium,EFO:0000277
heart atrium,obsolete_cardiac atrium,EFO:0000277
Atrium,obsolete_cardiac atrium,EFO:0000277
heart atrium,obsolete_cardiac atrium,EFO:0000277
pancreatitis,pancreatitis,EFO:0000278
pancreatitis,pancreatitis,EFO:0000278
Pancreatitis,pancreatitis,EFO:0000278
spermatogenic failure,azoospermia,EFO:0000279
azoospermia,azoospermia,EFO:0000279
spermatogenic failure,azoospermia,EFO:0000279
Barrett's esophagus,Barrett's esophagus,EFO:0000280
Barrett esophagus,Barrett's esophagus,EFO:0000280
Barrett Esophagus,Barrett's esophagus,EFO:0000280
basal-like breast carcinoma,basal-like breast carcinoma,EFO:0000281
basal-like breast carcinoma,basal-like breast carcinoma,EFO:0000281
Basal-Like Breast Carcinoma,basal-like breast carcinoma,EFO:0000281
prostatic hypertrophy,benign prostatic hyperplasia,EFO:0000284
prostatic adenoma,benign prostatic hyperplasia,EFO:0000284
Benign prostat hiperplazisi,benign prostatic hyperplasia,EFO:0000284
benign prostatic hyperplasia,benign prostatic hyperplasia,EFO:0000284
Benign Prostatic Hyperplasia,benign prostatic hyperplasia,EFO:0000284
bipolar disorder,obsolete_bipolar disorder,EFO:0000289
bladder,obsolete_bladder,EFO:0000290
bladder,obsolete_bladder,EFO:0000290
Urinary bladder,obsolete_bladder,EFO:0000290
urinary bladder,obsolete_bladder,EFO:0000290
bladder,obsolete_bladder,EFO:0000290
bladder carcinoma,obsolete_bladder carcinoma,EFO:0000292
obsolete_bladder carcinoma,obsolete_bladder carcinoma,EFO:0000292
Blaas carcinoom,obsolete_bladder carcinoma,EFO:0000292
Bladder Carcinoma,obsolete_bladder carcinoma,EFO:0000292
bladder tumor,bladder tumor,EFO:0000294
urinary bladder neoplasm,bladder tumor,EFO:0000294
Bladder Neoplasm,bladder tumor,EFO:0000294
blastocyst,obsolete_blastocyst,EFO:0000295
blood,obsolete_blood,EFO:0000296
blood,obsolete_blood,EFO:0000296
central nervous system,obsolete_brain,EFO:0000302
adult brain,obsolete_brain,EFO:0000302
Brain,obsolete_brain,EFO:0000302
brain,obsolete_brain,EFO:0000302
pharyngeal nervous system,obsolete_brain,EFO:0000302
brain,obsolete_brain,EFO:0000302
breast adenocarcinoma,breast adenocarcinoma,EFO:0000304
breast adenocarcinoma,breast adenocarcinoma,EFO:0000304
breast adenocarcinoma,breast adenocarcinoma,EFO:0000304
Breast Adenocarcinoma,breast adenocarcinoma,EFO:0000304
breast carcinoma,breast carcinoma,EFO:0000305
breast carcinoma,breast carcinoma,EFO:0000305
breast carcinoma,breast carcinoma,EFO:0000305
Breast Carcinoma,breast carcinoma,EFO:0000305
luminal breast carcinoma A,breast tumor luminal,EFO:0000306
breast tumor luminal,breast tumor luminal,EFO:0000306
breast tumor luminal A or B,breast tumor luminal,EFO:0000306
bronchiolo-alveolar adenocarcinoma,bronchoalveolar adenocarcinoma,EFO:0000308
bronchoalveolar adenocarcinoma,bronchoalveolar adenocarcinoma,EFO:0000308
minimally invasive lung adenocarcinoma,bronchoalveolar adenocarcinoma,EFO:0000308
Minimally Invasive Lung Adenocarcinoma,bronchoalveolar adenocarcinoma,EFO:0000308
Burkitt lymphoma,Burkitts lymphoma,EFO:0000309
Burkitts lymphoma,Burkitts lymphoma,EFO:0000309
Burkitt lymphoma,Burkitts lymphoma,EFO:0000309
Burkitt Lymphoma,Burkitts lymphoma,EFO:0000309
limb-girdle muscular dystrophy,obsolete_calpainopathy,EFO:0000310
organ system cancer,obsolete_cancer,EFO:0000311
cell type cancer,obsolete_cancer,EFO:0000311
cancer,obsolete_cancer,EFO:0000311
obsolete_cancer,obsolete_cancer,EFO:0000311
Malignant Neoplasm,obsolete_cancer,EFO:0000311
carcinoma,carcinoma,EFO:0000313
carcinoma,carcinoma,EFO:0000313
carcinoma,carcinoma,EFO:0000313
Carcinoma,carcinoma,EFO:0000313
cardiogenic mesoderm,cardiac mesoderm primordium,EFO:0000315
heart ventricle,obsolete_cardiac ventricle,EFO:0000317
heart ventricle,obsolete_cardiac ventricle,EFO:0000317
Ventricle,obsolete_cardiac ventricle,EFO:0000317
heart ventricle,obsolete_cardiac ventricle,EFO:0000317
cardiac ventricle,obsolete_cardiac ventricle,EFO:0000317
cardiomyopathy,cardiomyopathy,EFO:0000318
cardiomyopathy,cardiomyopathy,EFO:0000318
Cardiomyopathy,cardiomyopathy,EFO:0000318
cardiovascular system disease,cardiovascular disease,EFO:0000319
cardiovascular disorder,cardiovascular disease,EFO:0000319
Cardiovascular Disorder,cardiovascular disease,EFO:0000319
cell property,cell property,EFO:0000323
central nervous system cancer,central nervous system cancer,EFO:0000326
central nervous system cancer,central nervous system cancer,EFO:0000326
central nervous system cancer,central nervous system cancer,EFO:0000326
Malignant Central Nervous System Neoplasm,central nervous system cancer,EFO:0000326
Central Nervous System Neoplasm,central nervous system cancer,EFO:0000326
cerebellum,obsolete_cerebellum,EFO:0000327
cerebral cortex,obsolete_cerebral cortex,EFO:0000328
cerebral cortex,obsolete_cerebral cortex,EFO:0000328
adult brain cell body rind,obsolete_cerebral cortex,EFO:0000328
Cerebral cortex,obsolete_cerebral cortex,EFO:0000328
cerebral cortex,obsolete_cerebral cortex,EFO:0000328
cerebrospinal fluid,obsolete_cerebrospinal fluid,EFO:0000329
childhood acute myeloid leukemia,childhood acute myeloid leukemia,EFO:0000330
childhood acute myeloid leukemia,childhood acute myeloid leukemia,EFO:0000330
childhood acute myeloid leukemia,childhood acute myeloid leukemia,EFO:0000330
Childhood Acute Myeloid Leukemia,childhood acute myeloid leukemia,EFO:0000330
chondroblastoma,chondroblastoma,EFO:0000331
chondroblastoma,chondroblastoma,EFO:0000331
Chondroblastom,chondroblastoma,EFO:0000331
chondroblastoma,chondroblastoma,EFO:0000331
Chondroblastoma,chondroblastoma,EFO:0000331
chondromyxoid fibroma,chondromyxoid fibroma,EFO:0000332
chondromyxoid fibroma,chondromyxoid fibroma,EFO:0000332
Chondromyxoid Fibroma,chondromyxoid fibroma,EFO:0000332
chondrosarcoma,chondrosarcoma,EFO:0000333
chondrosarcoma,chondrosarcoma,EFO:0000333
Chondrosarcoma,chondrosarcoma,EFO:0000333
chondrosarcoma,chondrosarcoma,EFO:0000333
Chondrosarcoma,chondrosarcoma,EFO:0000333
chordoma,obsolete_chordoma,EFO:0000334
chromophobe renal cell carcinoma,chromophobe renal cell carcinoma,EFO:0000335
chromophobe renal cell carcinoma,chromophobe renal cell carcinoma,EFO:0000335
chromophobe renal cell carcinoma,chromophobe renal cell carcinoma,EFO:0000335
Chromophobe Renal Cell Carcinoma,chromophobe renal cell carcinoma,EFO:0000335
gastritis,chronic gastritis,EFO:0000337
Chronic gastritis,chronic gastritis,EFO:0000337
chronic gastritis,chronic gastritis,EFO:0000337
Chronic Gastritis,chronic gastritis,EFO:0000337
chronic granulomatous disease,obsolete_chronic granulomatous disease,EFO:0000338
"chronic myelogenous leukemia, BCR-ABL1 positive",chronic myelogenous leukemia,EFO:0000339
chronic myeloid leukemia,chronic myelogenous leukemia,EFO:0000339
chronic myelogenous leukemia,chronic myelogenous leukemia,EFO:0000339
"chronic myelogenous leukemia, BCR-ABL1 positive",chronic myelogenous leukemia,EFO:0000339
"Chronic Myeloid Leukemia, BCR-ABL1 Positive",chronic myelogenous leukemia,EFO:0000339
"Myeloid Leukemia, Philadelphia-Positive",chronic myelogenous leukemia,EFO:0000339
chronic myeloid leukemia,obsolete_chronic myeloid leukemia,EFO:0000340
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO:0000341
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,EFO:0000341
Chronic Obstructive Pulmonary Disease,chronic obstructive pulmonary disease,EFO:0000341
chronic pancreatitis,chronic pancreatitis,EFO:0000342
Chronic Pancreatitis,chronic pancreatitis,EFO:0000342
circular visceral muscle primordium,circular visceral mesoderm primordium,EFO:0000344
clear cell adenocarcinoma,clear cell adenocarcinoma,EFO:0000348
clear cell adenocarcinoma,clear cell adenocarcinoma,EFO:0000348
clear cell adenocarcinoma,clear cell adenocarcinoma,EFO:0000348
Clear Cell Adenocarcinoma,clear cell adenocarcinoma,EFO:0000348
Mesonephric Adenocarcinoma,clear cell adenocarcinoma,EFO:0000348
clear cell renal cell carcinoma,clear cell renal carcinoma,EFO:0000349
clear cell renal carcinoma,clear cell renal carcinoma,EFO:0000349
clear cell renal carcinoma,clear cell renal carcinoma,EFO:0000349
Clear Cell Renal Cell Carcinoma,clear cell renal carcinoma,EFO:0000349
kidney clear cell sarcoma,clear cell sarcoma of the kidney,EFO:0000350
clear cell sarcoma of the kidney,clear cell sarcoma of the kidney,EFO:0000350
clear cell sarcoma of kidney,clear cell sarcoma of the kidney,EFO:0000350
Clear Cell Sarcoma of the Kidney,clear cell sarcoma of the kidney,EFO:0000350
cochlea,obsolete_cochlea structure,EFO:0000357
cochlea,obsolete_cochlea structure,EFO:0000357
Cochlea,obsolete_cochlea structure,EFO:0000357
cochlea,obsolete_cochlea structure,EFO:0000357
lagena,obsolete_cochlea structure,EFO:0000357
Cockayne syndrome,obsolete_cockayne syndrome,EFO:0000359
colon,obsolete_colon,EFO:0000361
colon,obsolete_colon,EFO:0000361
Colon,obsolete_colon,EFO:0000361
colon,obsolete_colon,EFO:0000361
colon,obsolete_colon,EFO:0000361
posterior intestine,obsolete_colon,EFO:0000361
colon adenocarcinoma,obsolete_colon adenocarcinoma,EFO:0000362
colon carcinoma,obsolete_colon carcinoma,EFO:0000363
colon mucinous adenocarcinoma,colon mucinous adenocarcinoma,EFO:0000364
colon mucinous adenocarcinoma,colon mucinous adenocarcinoma,EFO:0000364
colon mucinous adenocarcinoma,colon mucinous adenocarcinoma,EFO:0000364
Colon Mucinous Adenocarcinoma,colon mucinous adenocarcinoma,EFO:0000364
colorectal adenocarcinoma,colorectal adenocarcinoma,EFO:0000365
large intestine adenocarcinoma,colorectal adenocarcinoma,EFO:0000365
colorectal adenocarcinoma,colorectal adenocarcinoma,EFO:0000365
colorectal adenocarcinoma,colorectal adenocarcinoma,EFO:0000365
Colorectal Adenocarcinoma,colorectal adenocarcinoma,EFO:0000365
common variable immunodeficiency,obsolete_common variable immunodeficiency,EFO:0000367
dilated cardiomyopathy,obsolete_congestive cardiomyopathy,EFO:0000372
congestive heart failure,congestive heart failure,EFO:0000373
congestive heart failure,congestive heart failure,EFO:0000373
Congestive Heart Failure,congestive heart failure,EFO:0000373
clear cell renal cell carcinoma,obsolete_conventional clear cell renal carcinoma,EFO:0000376
cornea,obsolete_cornea structure,EFO:0000377
corpus allatum,obsolete_corpus allatum,EFO:0000379
corpus allatum primordium,obsolete_corpus allatum,EFO:0000379
corpus allatum,obsolete_corpus allatum,EFO:0000379
corpus cardiacum,obsolete_corpus cardiacum,EFO:0000380
corpus cardiacum,obsolete_corpus cardiacum,EFO:0000380
corpus striatum,obsolete_corpus striatum,EFO:0000381
cerebral cortex,obsolete_cortex,EFO:0000383
Crohn's disease,Crohn's disease,EFO:0000384
Crohn disease,Crohn's disease,EFO:0000384
Crohn Disease,Crohn's disease,EFO:0000384
obsolete crystal cell specific anlage,crystal cell specific anlage,EFO:0000386
skin melanoma,cutaneous melanoma,EFO:0000389
cutaneous melanoma,cutaneous melanoma,EFO:0000389
Cutaan melanoom,cutaneous melanoma,EFO:0000389
cutaneous melanoma,cutaneous melanoma,EFO:0000389
Cutaneous Melanoma,cutaneous melanoma,EFO:0000389
cystic fibrosis,obsolete_cystic fibrosis,EFO:0000390
dedifferentiated chondrosarcoma,dedifferentiated chondrosarcoma,EFO:0000394
dedifferentiated chondrosarcoma,dedifferentiated chondrosarcoma,EFO:0000394
dedifferentiated chondrosarcoma,dedifferentiated chondrosarcoma,EFO:0000394
Dedifferentiated Chondrosarcoma,dedifferentiated chondrosarcoma,EFO:0000394
dermatomyositis,dermatomyositis,EFO:0000398
dermatomyositis,dermatomyositis,EFO:0000398
Dermatomyositis,dermatomyositis,EFO:0000398
diabetes mellitus,diabetes mellitus,EFO:0000400
Diabetes mellitus,diabetes mellitus,EFO:0000400
diabetes mellitus,diabetes mellitus,EFO:0000400
Diabetes Mellitus,diabetes mellitus,EFO:0000400
diabetic autonomic neuropathy,diabetic nephropathy,EFO:0000401
type 1 diabetes nephropathy,diabetic nephropathy,EFO:0000401
type 2 diabetes nephropathy,diabetic nephropathy,EFO:0000401
diabetic kidney disease,diabetic nephropathy,EFO:0000401
Diabetic Nephropathy,diabetic nephropathy,EFO:0000401
gastric diffuse adenocarcinoma,diffuse gastric adenocarcinoma,EFO:0000402
diffuse gastric adenocarcinoma,diffuse gastric adenocarcinoma,EFO:0000402
diffuse gastric adenocarcinoma,diffuse gastric adenocarcinoma,EFO:0000402
Gastric Diffuse Adenocarcinoma,diffuse gastric adenocarcinoma,EFO:0000402
diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,EFO:0000403
diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,EFO:0000403
diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,EFO:0000403
Diffuse Large B-Cell Lymphoma,diffuse large B-cell lymphoma,EFO:0000403
diffuse scleroderma,diffuse scleroderma,EFO:0000404
diffuse scleroderma,diffuse scleroderma,EFO:0000404
Diffuse Cutaneous Systemic Sclerosis,diffuse scleroderma,EFO:0000404
intestinal disease,digestive system disease,EFO:0000405
gastrointestinal system disease,digestive system disease,EFO:0000405
digestive system disorder,digestive system disease,EFO:0000405
