query_id,query,predicted_code,predicted_label,predicted_ontology,gold_codes,gold_labels,graph_relationship,graph_matched_gold_code,reviewer_decision,reviewer_notes
325,obsolete dorsal ectoderm anlage in statu nascendi,EFO:0000416,dorsal ectoderm primordium,EFO,EFO:0000415,dorsal ectoderm anlage in statu nascendi,Sibling,EFO:0000415,,
380,Thyroid Gland Adenocarcinoma,MONDO:0024622,thyroid gland adenocarcinoma,MONDO,EFO:0000501,follicular thyroid carcinoma,More General,EFO:0000501,,
396,germ cell cancer,EFO:1000352,Malignant Germ Cell Tumor,EFO,EFO:0000514,germ cell tumor,More Specific,EFO:0000514,,
403,glioblastoma,MONDO:0018177,glioblastoma,MONDO,EFO:0000519,glioblastoma multiforme,Sibling,EFO:0000519,,
405,Glioblastoma,MONDO:0018177,glioblastoma,MONDO,EFO:0000519,glioblastoma multiforme,Sibling,EFO:0000519,,
413,hypertensive disorder,MONDO:0005044,hypertensive disorder,MONDO,EFO:0000537,hypertension,Sibling,EFO:0000537,,
427,Pancreatic Insulin-Producing Neuroendocrine Tumor,MONDO:0024677,pancreatic insulinoma,MONDO,EFO:0000549,insulinoma,More Specific,EFO:0000549,,
455,non-small cell lung adenocarcinoma,EFO:0005288,non-small cell lung adenocarcinoma,EFO,EFO:0000571,lung adenocarcinoma,Sibling,EFO:0000571,,
463,meningitis,MONDO:0021108,meningitis,MONDO,EFO:0000584,infectious meningitis,More General,EFO:0000584,,
464,Menenjit,MONDO:0021108,meningitis,MONDO,EFO:0000584,infectious meningitis,More General,EFO:0000584,,
512,periodontosis,MONDO:0002635,periodontal disorder,MONDO,EFO:0000649,periodontitis,More General,EFO:0000649,,
556,cellular schwannoma,MONDO:0002548,cellular schwannoma,MONDO,EFO:0000693,schwannoma,More Specific,EFO:0000693,,
601,Liver Embryonal Sarcoma,MONDO:0002397,liver sarcoma,MONDO,EFO:0000730,undifferentiated sarcoma,More General,EFO:0000730,,
651,human granulocytic ehrlichiosis,MONDO:0025303,anaplasmosis,MONDO,EFO:0000777,human granulocytic anaplasmosis,More General,EFO:0000777,,
659,myositis disease,MONDO:0600023,idiopathic inflammatory myopathy,MONDO,EFO:0000783,myositis,More Specific,EFO:0000783,,
660,Myositis,MONDO:0600023,idiopathic inflammatory myopathy,MONDO,EFO:0000783,myositis,More Specific,EFO:0000783,,
666,adult head,UBERON:0000033,head,UBERON,EFO:0000792,craniofacial tissue,Sibling,EFO:0000792,,
668,head,UBERON:0000033,head,UBERON,EFO:0000792|EFO:0000964,craniofacial tissue|obsolete_head,Sibling,EFO:0000792,,
705,organism subdivision,EFO:0000635,organism part,EFO,EFO:0000808,animal body part,More General,EFO:0000808,,
863,ganglion,UBERON:0000045,ganglion,UBERON,EFO:0000890|EFO:0000899|EFO:0000900,invertebrate ganglion|obsolete_ganglion|obsolete_dorsal root ganglion,More General,EFO:0000890,,
959,axial skeleton,UBERON:0002090,postcranial axial skeleton,UBERON,EFO:0000942|EFO:0001369,obsolete_axial skeleton structure|vertebral column structure,Sibling,EFO:0001369,,
961,postcranial axial skeleton,UBERON:0002090,postcranial axial skeleton,UBERON,EFO:0000942|EFO:0001369,obsolete_axial skeleton structure|vertebral column structure,Sibling,EFO:0001369,,
1176,adult Ce,EFO:0005498,newly molted young adult hermaphrodite,EFO,EFO:0001272,adult,More Specific,EFO:0001272,,
1180,a mating type (yeast),EFO:0001268,mating type,EFO,EFO:0001275,mating type a,More General,EFO:0001275,,
1245,pulmonary hypertension,MONDO:0005149,pulmonary hypertension,MONDO,EFO:0001361,pulmonary arterial hypertension,More General,EFO:0001361,,
1308,Liver and Intrahepatic Bile Duct Disorder,EFO:0010284,hepatobiliary disease,EFO,EFO:0001421,liver disease,More General,EFO:0001421,,
1533,myelofibrosis,MONDO:0044903,myelofibrosis,MONDO,EFO:0002430,primary myelofibrosis,Sibling,EFO:0002430,,
1576,ovarian cystadenoma,MONDO:0002369,cystadenoma,MONDO,EFO:0002511,simple cystadenoma,More General,EFO:0002511,,
1733,renal pelvis urothelial carcinoma,MONDO:0020654,renal pelvis/ureter urothelial carcinoma,MONDO,EFO:0003017,transitional cell carcinoma of kidney,More General,EFO:0003017,,
1769,anaplastic lung carcinoma,EFO:1000016,anaplastic lung carcinoma,EFO,EFO:0003050,large cell lung carcinoma,Sibling,EFO:0003050,,
1799,cellular myxoid liposarcoma,EFO:0000613,myxoid liposarcoma,EFO,EFO:0003084,round cell liposarcoma,Sibling,EFO:0003084,,
1811,metabolic dysfunction-associated steatotic liver disease,MONDO:0004790,fatty liver disease,MONDO,EFO:0003095,non-alcoholic fatty liver disease,More General,EFO:0003095,,
1815,Pick disease,EFO:0000408,disease,EFO,EFO:0003096,Pick disease,More General,EFO:0003096,,
1827,Neuropathy,EFO:0004149,neuropathy,EFO,EFO:0003100,peripheral neuropathy,More General,EFO:0003100,,
1858,FBbt_00000448,EFO:0003334,Drosophila component,EFO,EFO:0003370,posterior midgut proper primordium,More General,EFO:0003370,,
1860,FBbt_00005626,EFO:0003334,Drosophila component,EFO,EFO:0003410,embryonic midgut interstitial cell,More General,EFO:0003410,,
1996,atypical autism,MONDO:0016052,atypical autism,MONDO,EFO:0003756|EFO:0003759,autism spectrum disorder|pervasive developmental disorder - not otherwise specified,Sibling,EFO:0003756,,
1997,pervasive developmental disorder - not otherwise specified,EFO:0003759,pervasive developmental disorder - not otherwise specified,EFO,EFO:0003756,autism spectrum disorder,More Specific,EFO:0003756,,
2003,autism,EFO:0003756,autism spectrum disorder,EFO,EFO:0003758,autism,More General,EFO:0003758,,
2007,major depressive disorder,MONDO:0002009,major depressive disorder,MONDO,EFO:0003761,unipolar depression,Sibling,EFO:0003761,,
2008,melancholic depression,EFO:1002014,melancholia,EFO,EFO:0003761,unipolar depression,Sibling,EFO:0003761,,
2023,endocrine gland cancer,MONDO:0021069,malignant endocrine neoplasm,MONDO,EFO:0003769,endocrine neoplasm,More Specific,EFO:0003769,,
2071,serous cystadenocarcinoma,MONDO:0024621,serous cystadenocarcinoma,MONDO,EFO:0003825,serous adenocarcinoma,More Specific,EFO:0003825,,
2074,salivary gland cancer,MONDO:0004669,salivary gland cancer,MONDO,EFO:0003826,salivary gland neoplasm,More Specific,EFO:0003826,,
2087,brain cancer,MONDO:0001657,brain cancer,MONDO,EFO:0003833,brain neoplasm,More Specific,EFO:0003833,,
2092,anus cancer,MONDO:0003199,anal carcinoma,MONDO,EFO:0003835,anal neoplasm,More Specific,EFO:0003835,,
2093,anus benign neoplasm,MONDO:0021469,benign neoplasm of anus,MONDO,EFO:0003835,anal neoplasm,More Specific,EFO:0003835,,
2107,ureter cancer,EFO:1000609,Ureter Carcinoma,EFO,EFO:0003844,ureteral neoplasm,More Specific,EFO:0003844,,
2116,adrenal gland cancer,MONDO:0002817,adrenal gland cancer,MONDO,EFO:0003850,adrenal gland neoplasm,More Specific,EFO:0003850,,
2131,uterine cancer,MONDO:0002715,uterine cancer,MONDO,EFO:0003859,uterine neoplasm,More Specific,EFO:0003859,,
2138,kidney cancer,MONDO:0002367,kidney cancer,MONDO,EFO:0003865,kidney neoplasm,More Specific,EFO:0003865,,
2194,stomach cancer,MONDO:0001056,gastric cancer,MONDO,EFO:0003897,stomach neoplasm,More Specific,EFO:0003897,,
2247,vascular sarcoma,EFO:0003967,vascular sarcoma,EFO,EFO:0003968,angiosarcoma,More General,EFO:0003968,,
2256,transthyretin amyloidosis,ORDO:271861,Familial transthyretin-related amyloidosis,ORDO,EFO:0004129,familial amyloid neuropathy,Sibling,EFO:0004129,,
2257,obsolete paramyloidosis,EFO:1001875,amyloidosis,EFO,EFO:0004129,familial amyloid neuropathy,More General,EFO:0004129,,
2272,congenital myopathy 1A,ORDO:258,Congenital muscular dystrophy type 1A,ORDO,EFO:0004146|EFO:1000855,obsolete_central core myopathy|central core myopathy,Sibling,EFO:1000855,,
2295,skin benign neoplasm,MONDO:0021440,benign neoplasm of skin,MONDO,EFO:0004198,skin neoplasm,More Specific,EFO:0004198,,
2296,skin cancer,MONDO:0002898,skin cancer,MONDO,EFO:0004198,skin neoplasm,More Specific,EFO:0004198,,
2366,chronic myeloproliferative disorder,EFO:0002428,chronic myeloproliferative disorder,EFO,EFO:0004251,myeloproliferative disorder,Sibling,EFO:0004251,,
2461,Kuhnt-Junius degeneration,EFO:0001365,age-related macular degeneration,EFO,EFO:0004683,wet macular degeneration,More General,EFO:0004683,,
2554,H1N1 Influenza,EFO:1001488,influenza A (H1N1),EFO,EFO:0005226,swine influenza,More Specific,EFO:0005226,,
2598,torsades de pointes,MONDO:0020575,polymorphic ventricular tachycardia,MONDO,EFO:0005307,torsades de pointes,Sibling,EFO:0005307,,
2624,language disorder,MONDO:0004750,language disorder,MONDO,EFO:0005425,language impairment,More General,EFO:0005425,,
2625,specific language impairment 5,EFO:1001510,specific language impairment,EFO,EFO:0005425,language impairment,More General,EFO:0005425,,
2678,X-linked severe combined immunodeficiency,EFO:1001451,X-Linked Combined Immunodeficiency Diseases,EFO,EFO:0005555,gamma chain deficiency,Sibling,EFO:0005555,,
2680,X-Linked Severe Combined Immunodeficiency,EFO:1001451,X-Linked Combined Immunodeficiency Diseases,EFO,EFO:0005555,gamma chain deficiency,Sibling,EFO:0005555,,
2738,Neurotoxicity Syndrome,EFO:0011057,neurotoxicity,EFO,EFO:0005595,toxic encephalopathy,Sibling,EFO:0005595,,
2780,melanoma cell line,EFO:0001639,cancer cell line,EFO,EFO:0005706,Mel-2183,More General,EFO:0005706,,
2782,renal cell adenocarcinoma,EFO:0000681,renal cell carcinoma,EFO,EFO:0005708,renal cell adenocarcinoma,More General,EFO:0005708,,
2785,pancreatic adenocarcinoma cell line,EFO:0002713,Panc1,EFO,EFO:0005713,8988T,Sibling,EFO:0005713,,
2796,neuroblastoma cell line,EFO:0005214,neuroblastoma cell line,EFO,EFO:0005725,BE(2)-C,More General,EFO:0005725,,
2844,embryoma,EFO:0005784,embryonal neoplasm,EFO,EFO:0005785,blastoma,More General,EFO:0005785,,
2861,autoimmune disease,EFO:0005140,autoimmune disease,EFO,EFO:0005809,type II hypersensitivity reaction disease,Sibling,EFO:0005809,,
2862,Autoimmune Disease,EFO:0005140,autoimmune disease,EFO,EFO:0005809,type II hypersensitivity reaction disease,Sibling,EFO:0005809,,
2872,Alergická rýma,EFO:1001417,"Rhinitis, Allergic, Perennial",EFO,EFO:0005854,allergic rhinitis,More Specific,EFO:0005854,,
2929,SH-EP cell,EFO:0022343,SH-EP1 cell,EFO,EFO:0006294,SHEP,Sibling,EFO:0006294,,
2985,SR cell,EFO:0002352,SR,EFO,EFO:0006491,SR-786,Sibling,EFO:0006491,,
3123,anogenital human papillomavirus infection,EFO:0001668,human papilloma virus infection,EFO,EFO:0007147,anogenital venereal wart,More General,EFO:0007147,,
3124,Anogenital Human Papillomavirus Infection,EFO:0001668,human papilloma virus infection,EFO,EFO:0007147,anogenital venereal wart,More General,EFO:0007147,,
3138,ascaridiasis,EFO:0007154,ascariasis,EFO,EFO:0007155,ascaridiasis,Sibling,EFO:0007155,,
3161,Cranial Nerve VII Palsy,EFO:0009489,cranial nerve palsy,EFO,EFO:0007167,Bell's palsy,More General,EFO:0007167,,
3236,Chlamydial Infection,EFO:1001288,Chlamydiaceae Infections,EFO,EFO:0007205,Chlamydia trachomatis infectious disease,More General,EFO:0007205,,
3271,obsolete Coronaviridae infectious disease,EFO:0007224,coronavirus infectious disease,EFO,EFO:0007223,Coronaviridae infectious disease,More Specific,EFO:0007223,,
3414,Hantavirus hemorrhagic fever with renal syndrome,MONDO:0005784,hantavirus hemorrhagic fever with renal syndrome,MONDO,EFO:0007299,hemorrhagic fever with renal syndrome,Sibling,EFO:0007299,,
3431,Dendritic Keratitis,EFO:1001883,Dendritic keratitis,EFO,EFO:0007308,Herpes simplex virus keratitis,More Specific,EFO:0007308,,
3458,Malignant Hypopharyngeal Neoplasm,EFO:0002938,hypopharyngeal carcinoma,EFO,EFO:0007321,hypopharynx cancer,More Specific,EFO:0007321,,
3479,pancreatic neuroendocrine neoplasm,EFO:1000045,pancreatic neuroendocrine tumor,EFO,EFO:0007331,islet cell tumor,More Specific,EFO:0007331,,
3480,Pancreatic Neuroendocrine Neoplasm,EFO:1000045,pancreatic neuroendocrine tumor,EFO,EFO:0007331,islet cell tumor,More Specific,EFO:0007331,,
3568,American Cutaneous Leishmaniasis,EFO:0005046,cutaneous Leishmaniasis,EFO,EFO:0007379,mucocutaneous Leishmaniasis,Sibling,EFO:0007379,,
3623,Orbit Neoplasm,MONDO:0024611,orbit neoplasm,MONDO,EFO:0007408,orbital cancer,More General,EFO:0007408,,
3715,obsolete atypical Mycobacterium infectious disease,EFO:0009429,Mycobacterium infection,EFO,EFO:0007461,recurrent pneumonia,More General,EFO:0007461,,
3768,Splenic Neoplasm,MONDO:0036696,spleen neoplasm,MONDO,EFO:0007491,spleen cancer,More General,EFO:0007491,,
3880,larva,UBERON:0000069,larval stage,UBERON,EFO:0007695,Danio rerio larval stage,More General,EFO:0007695,,
3888,Brugia embryo,EFO:0005858,C. elegans embryo stage,EFO,EFO:0007725,embryo stage,More Specific,EFO:0007725,,
3917,Familial isolated hyperparathyroidism,MONDO:0015027,familial isolated hyperparathyroidism,MONDO,EFO:0008506,hyperparathyroidism,More Specific,EFO:0008506,,
3941,OBSOLETE: Primary parathyroid hyperplasia,EFO:0700131,primary parathyroid hyperplasia,EFO,EFO:0008519,primary hyperparathyroidism,More Specific,EFO:0008519,,
3992,bullous skin disease,EFO:1000774,vesiculobullous skin disease,EFO,EFO:0008598|EFO:1000673,autoimmune bullous skin disease|obsolete_bullous skin disease,More General,EFO:0008598,,
3993,obsolete_bullous skin disease,EFO:1000774,vesiculobullous skin disease,EFO,EFO:0008598,autoimmune bullous skin disease,More General,EFO:0008598,,
4038,ACTH-independent macronodular adrenal hyperplasia,MONDO:0020735,ACTH-independent macronodular adrenal hyperplasia 1,MONDO,EFO:0009041,Cushing syndrome due to macronodular adrenal hyperplasia,More Specific,EFO:0009041,,
4100,optic nerve glioma,MONDO:0016167,optic pathway glioma,MONDO,EFO:0009254,optic nerve glioblastoma,More General,EFO:0009254,,
4101,Optic Nerve Glioma,MONDO:0016167,optic pathway glioma,MONDO,EFO:0009254,optic nerve glioblastoma,More General,EFO:0009254,,
4146,lymphoplasmacytic lymphoma,MONDO:0000432,lymphoplasmacytic lymphoma,MONDO,EFO:0009441,Waldenstrom macroglobulinemia,More General,EFO:0009441,,
4227,"Guillain-Barre syndrome, familial",EFO:0007292,Guillain-Barre syndrome,EFO,EFO:0009538,chronic inflammatory demyelinating polyneuropathy,More General,EFO:0009538,,
4329,MYH-9 related disease,ORDO:182050,MYH9-related disease,ORDO,EFO:0009646,macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,More General,EFO:0009646,,
4341,Bronchite,EFO:1002018,bronchial disease,EFO,EFO:0009661,bronchitis,More General,EFO:0009661,,
4346,obsolete eye and adnexa disease,EFO:0009546,eye adnexa disease,EFO,EFO:0009664,disease of orbital region,More Specific,EFO:0009664,,
4368,nevus,EFO:0000625,nevus,EFO,EFO:0009675,melanocytic nevus,More General,EFO:0009675,,
4408,"polyarticular juvenile idiopathic arthritis, rheumatoid factor negative",EFO:1002020,"polyarticular juvenile idiopathic arthritis, rheumatoid factor negative",EFO,EFO:0009730,polyarticular juvenile idiopathic arthritis,More Specific,EFO:0009730,,
4493,autoimmune disorder of central nervous system,MONDO:0002977,autoimmune disorder of the nervous system,MONDO,EFO:0020092,neuroinflammatory disorder,More General,EFO:0020092,,
4528,184B5 cell,EFO:0001190,HMEC184,EFO,EFO:0022376,b5-589 cell,Sibling,EFO:0022376,,
4664,Erken boşalma,HP:0012876,Premature ejaculation,HPO,EFO:0803321,premature ejaculation,Sibling,EFO:0803321,,
4667,Loeys-Dietz syndrome 5,MONDO:0018954,Loeys-Dietz syndrome,MONDO,EFO:1000012,Rienhoff syndrome,More General,EFO:1000012,,
4769,Corticotroph Pituitary Neuroendocrine Tumor,MONDO:0045058,ACTH-producing pituitary gland neoplasm,MONDO,EFO:1000066,ACTH-Producing Pituitary Gland Adenoma,More General,EFO:1000066,,
4777,Acute Undifferentiated Leukemia,MONDO:0019460,acute leukemia of ambiguous lineage,MONDO,EFO:1000068,Acute Leukemia,More Specific,EFO:1000068,,
4825,appendix carcinoid tumor,MONDO:0024501,appendix neuroendocrine neoplasm,MONDO,EFO:1000092,Appendix Neuroendocrine Tumor G1,More General,EFO:1000092,,
4866,Benign Smooth Muscle Neoplasm,MONDO:0001572,leiomyoma,MONDO,EFO:1000121,Benign Smooth Muscle Neoplasm,More Specific,EFO:1000121,,
4867,benign smooth muscle neoplasm,MONDO:0001572,leiomyoma,MONDO,EFO:1000121,Benign Smooth Muscle Neoplasm,More Specific,EFO:1000121,,
4952,"Human Papillomavirus-Independent Cervical Adenocarcinoma, Gastric-Type",EFO:0001416,cervical adenocarcinoma,EFO,EFO:1000169,"Cervical Mucinous Adenocarcinoma, Minimal Deviation Variant",More General,EFO:1000169,,
5011,Combined Lung Carcinoma,EFO:0001071,lung carcinoma,EFO,EFO:1000200,Combined Lung Carcinoma,More General,EFO:1000200,,
5058,duodenum adenoma,EFO:1000907,duodenal benign neoplasm,EFO,EFO:1000225,Duodenal Villous Adenoma,Sibling,EFO:1000225,,
5066,Porocarcinoma,MONDO:0024240,eccrine carcinoma,MONDO,EFO:1000229,Eccrine Porocarcinoma,More General,EFO:1000229,,
5201,Hydatidiform Mole,MONDO:0016785,complete hydatidiform mole,MONDO,EFO:1000298,Hydatidiform Mole,More Specific,EFO:1000298,,
5347,salivary gland neoplasm,EFO:0003826,salivary gland neoplasm,EFO,EFO:1000384,Mixed Tumor of the Salivary Gland,More General,EFO:1000384,,
5348,tumor of salivary gland,EFO:0003826,salivary gland neoplasm,EFO,EFO:1000384,Mixed Tumor of the Salivary Gland,More General,EFO:1000384,,
5349,Salivary Gland Neoplasm,EFO:0003826,salivary gland neoplasm,EFO,EFO:1000384,Mixed Tumor of the Salivary Gland,More General,EFO:1000384,,
5505,Pituitary Neuroendocrine Tumor,MONDO:0003604,functioning pituitary gland neoplasm,MONDO,EFO:1000478,Pituitary Gland Adenoma,Sibling,EFO:1000478,,
5581,pleomorphic adenoma carcinoma,MONDO:0002472,carcinoma ex pleomorphic adenoma,MONDO,EFO:1000516,Salivary Gland Carcinoma ex Pleomorphic Adenoma,More General,EFO:1000516,,
5742,"Thyroid Gland Anaplastic Carcinoma, Squamous Cell Carcinoma Pattern",EFO:1000595,Thyroid Gland Undifferentiated (Anaplastic) Carcinoma,EFO,EFO:1000594,Thyroid Gland Squamous Cell Carcinoma,Sibling,EFO:1000594,,
5960,Keratoderma,EFO:1000745,palmoplantar keratosis,EFO,EFO:1000720,keratosis,More Specific,EFO:1000720,,
6013,photoallergic dermatitis,MONDO:0006596,photoallergic dermatitis,MONDO,EFO:1000751|EFO:1000753,obsolete_photoallergic dermatitis|phototoxic dermatitis,Sibling,EFO:1000753,,
6064,diabetic polyneuropathy,MONDO:0001583,diabetic polyneuropathy,MONDO,EFO:1000783,diabetic neuropathy,More Specific,EFO:1000783,,
6094,Adrenal Cortical Neoplasm,MONDO:0036591,adrenal cortex neoplasm,MONDO,EFO:1000796,adrenal cortex carcinoma,More General,EFO:1000796,,
6149,acute biphenotypic leukemia,MONDO:0020743,mixed phenotype acute leukemia,MONDO,EFO:1000828,B- and T-cell mixed leukemia,More General,EFO:1000828,,
6151,Acute Biphenotypic Leukemia,MONDO:0020743,mixed phenotype acute leukemia,MONDO,EFO:1000828,B- and T-cell mixed leukemia,More General,EFO:1000828,,
6212,chlamydia infectious disease,EFO:0007205,Chlamydia trachomatis infectious disease,EFO,EFO:1000863,Chlamydophila infectious disease,More Specific,EFO:1000863,,
6220,Chronic Inflammatory Demyelinating Polyneuropathy,EFO:0009538,chronic inflammatory demyelinating polyneuropathy,EFO,EFO:1000868,chronic inflammatory demyelinating polyradiculoneuropathy,Sibling,EFO:1000868,,
6325,Mixed Epithelioid and Spindle Cell Melanoma,EFO:1000546,Spindle Cell Melanoma,EFO,EFO:1000925,epithelioid and spindle cell nevus,Sibling,EFO:1000925,,
6340,eyelid benign neoplasm,MONDO:0021605,benign eyelid neoplasm,MONDO,EFO:1000934,eyelid neoplasm,More Specific,EFO:1000934,,
6499,malignant lymphatic vessel tumor,EFO:1000339,Lymphangiosarcoma,EFO,EFO:1001032,malignant lymphatic vessel tumor,Sibling,EFO:1001032,,
6557,Malnutrition,EFO:0008572,malnutrition,EFO,EFO:1001067,nutritional deficiency disease,Sibling,EFO:1001067,,
6742,Malignant Sebaceous Neoplasm,MONDO:0037735,sebaceous gland cancer,MONDO,EFO:1001171,sebaceous adenocarcinoma,More General,EFO:1001171,,
6795,sweat gland benign neoplasm,MONDO:0021489,benign neoplasm of sweat gland,MONDO,EFO:1001204,sweat gland neoplasm,More Specific,EFO:1001204,,
6974,obsolete commensal Klebsiella infectious disease,MONDO:0030603,Klebsiella infectious disease,MONDO,EFO:1001353,Klebsiella Infections,Sibling,EFO:1001353,,
6988,Ischemic Heart Disease,EFO:0001645,coronary artery disease,EFO,EFO:1001375,Myocardial Ischemia,More General,EFO:1001375,,
7034,tendinitis,MONDO:0004857,tendinitis,MONDO,EFO:1001434,Tendinopathy,More Specific,EFO:1001434,,
7048,benign neoplasm of placenta,MONDO:0021218,placenta neoplasm,MONDO,EFO:1001443,"Tuberculosis, Cutaneous",More General,EFO:1001443,,
7049,Benign Placental Neoplasm,EFO:1000480,Placental Hemangioma,EFO,EFO:1001443,"Tuberculosis, Cutaneous",More Specific,EFO:1001443,,
7079,Idiopathic Hypereosinophilic Syndrome,MONDO:0011895,idiopathic hypereosinophilic syndrome,MONDO,EFO:1001467,Hypereosinophilic syndrome,More Specific,EFO:1001467,,
7098,biliary liver cirrhosis,EFO:0004267,biliary liver cirrhosis,EFO,EFO:1001486,primary biliary cirrhosis,More General,EFO:1001486,,
7107,Angle closure glaucoma,MONDO:0001744,angle-closure glaucoma,MONDO,EFO:1001506,primary angle closure glaucoma,More General,EFO:1001506,,
7159,staphylococcal infection,EFO:0005681,Staphylococcus aureus infection,EFO,EFO:1001849,staphylococcal skin infections,More Specific,EFO:1001849,,
7160,Staphylococcal Infection,EFO:0005681,Staphylococcus aureus infection,EFO,EFO:1001849,staphylococcal skin infections,More Specific,EFO:1001849,,
