query_id,source_query,gold_codes,gold_labels,original_row_indices,original_mapping_pair_count
115,Pulmonary embolism,EFO:0003827,pulmonary embolism,115,1
116,Other peripheral vascular diseases,EFO:0003875,peripheral vascular disease,116,1
117,Multiple sclerosis,EFO:0003885,multiple sclerosis,117,1
118,Acne,EFO:0003894,acne,118,1
119,Ankylosing spondylitis,EFO:0003898,ankylosing spondylitis,119,1
120,Angina pectoris,EFO:0003913,angina pectoris,120,1
121,Atherosclerosis,EFO:0003914,atherosclerosis,121,1
122,Gastro oesophageal reflux disease,EFO:0003948,gastroesophageal reflux disease,122,1
123,Sunburn,EFO:0003958,sunburn,123,1
124,Cleft lip,EFO:0003959,cleft lip,124,1
125,Androgenic alopecia,EFO:0004191,androgenic alopecia,125,1
126,Alopecia areata,EFO:0004192,alopecia areata,126,1
127,Vitiligo,EFO:0004208,vitiligo,127,1
128,Hypospadias,EFO:0004209,hypospadias,128,1
129,Otosclerosis,EFO:0004213,otosclerosis,129,1
130,Conduct disorders,EFO:0004216,conduct disorder,130,1
131,Male infertility,EFO:0004248,male infertility,131,1
132,Meningococcal infection,EFO:0004249,meningococcal infection,132,1
133,Calculus of kidney and ureter,EFO:0004253,nephrolithiasis,133,1
134,Nephrotic syndrome,EFO:0004255,nephrotic syndrome,134,1
135,Osteonecrosis,EFO:0004259,osteonecrosis,135,1
136,Paget s disease of bone,EFO:0004261,osteitis deformans,136,1
137,Other anaemias,EFO:0004272,anemia,137,1
138,Gout,EFO:0004274,gout,138,1
139,Diabetes mellitus in pregnancy,EFO:0004593,gestational diabetes,139,1
140,Duodenal ulcer,EFO:0004607,duodenal ulcer,140,1
141,Cholelithiasis,EFO:0004799,cholelithiasis,141,1
142,Leishmaniasis,EFO:0005044,Leishmaniasis,142,1
143,Eating disorders,EFO:0005203,eating disorder,143,1
144,Hypotension,EFO:0005251,hypotension,144,1
145,Unspecified contact dermatitis,EFO:0005319,contact dermatitis,145,1
146,Schizoaffective disorders,EFO:0005411,schizoaffective disorder,146,1
147,Urticaria,EFO:0005531,urticaria,147,1
148,Seborrhoeic keratosis,EFO:0005584,seborrheic keratosis,148,1
149,Shigellosis,EFO:0005585,shingellosis,149,1
150,Other vitamin deficiencies,EFO:0005878,vitamin deficiency,150,1
151,Zoster,EFO:0006510,Herpes Zoster,151,1
152,Pyoderma gangrenosum,EFO:0006835,pyoderma gangrenosum,152,1
153,Decubitus ulcer,EFO:0007067,decubitus ulcer,153,1
154,Actinomycosis,EFO:0007128,actinomycosis,154,1
155,Amoebiasis,EFO:0007144,amebiasis,155,1
156,Unspecified appendicitis,EFO:0007149,appendicitis,156,1
157,Ascariasis,EFO:0007154,ascariasis,157,1
158,Aspergillosis,EFO:0007157,aspergillosis,158,1
159,Varicella,EFO:0007204,chickenpox,159,1
160,Cryptococcosis,EFO:0007229,cryptococcosis,160,1
161,Echinococcosis,EFO:0007245,echinococcosis,161,1
162,Enterobiasis,EFO:0007254,enterobiasis,162,1
163,Granuloma inguinale,EFO:0007291,granuloma inguinale,163,1
164,Histoplasmosis,EFO:0007310,histoplasmosis,164,1
165,Infectious mononucleosis,EFO:0007326,infectious mononucleosis,165,1
166,Leptospirosis,EFO:0007344,leptospirosis,166,1
167,Listeriosis,EFO:0007347,listeriosis,167,1
168,Miliary tuberculosis,EFO:0007368,miliary tuberculosis,168,1
169,Myiasis,EFO:0007389,myiasis,169,1
170,Optic neuritis,EFO:0007405,optic neuritis,170,1
171,Placenta praevia,EFO:0007442,placenta praevia,171,1
172,Plasmodium falciparum malaria,EFO:0007444,Plasmodium falciparum malaria,172,1
173,Plasmodium vivax malaria,EFO:0007445,Plasmodium vivax malaria,173,1
174,Acute poliomyelitis,EFO:0007450,poliomyelitis,174,1
175,Scarlet fever,EFO:0007477,scarlet fever,175,1
176,Strongyloidiasis,EFO:0007501,strongyloidiasis,176,1
177,Suppurative and unspecified otitis media,EFO:0007503,suppurative otitis media,177,1
178,other syphilis,EFO:0007504,syphilis,178,1
179,Toxoplasmosis,EFO:0007517,toxoplasmosis,179,1
180,Yaws,EFO:0007548,yaws,180,1
181,Status epilepticus,EFO:0008526,status epilepticus,181,1
182,Fracture of femur,EFO:0008553,femur fracture,182,1
183,Diaphragmatic hernia,EFO:0008561,diaphragmatic hernia,183,1
184,Niacin deficiency,EFO:0008570,vitamin B3 deficiency,184,1
185,Gangrene,EFO:0008574,gangrene,185,1
186,Acute myocardial infarction,EFO:0008583,acute myocardial infarction,186,1
187,Subsequent myocardial infarction,EFO:0008584,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardian infarction,187,1
188,Peritonitis,EFO:0008588,peritonitis,188,1
189,Diseases of spleen,EFO:0009002,splenic disease,189,1
190,Typhus fever,EFO:0009117,typhus,190,1
191,Other diseases of intestine,EFO:0009431,intestinal disease,191,1
192,Fibroblastic disorders,EFO:0009432,fibroblastic disorder,192,1
193,Unspecified acute lower respiratory infection,EFO:0009433,lower respiratory tract disease,193,1
194,Other ill defined and unspecified causes of mortality,EFO:0009434,death by undetermined cause,194,1
195,Cystitis,EFO:1000025,cystitis,195,1
196,Lactose intolerance,EFO:1000062,lactose intolerance,196,1
197,Thyroiditis,EFO:1000627,thyroid disease,197,1
198,Acute pancreatitis,EFO:1000652,acute pancreatitis,198,1
199,Acanthosis nigricans,EFO:1000660,acanthosis nigricans,199,1
200,Allergic contact dermatitis,EFO:1000668,allergic contact dermatitis,200,1
201,Cholesteatoma of middle ear,EFO:1000678,cholesteatoma of middle ear,201,1
202,Erythema multiforme,EFO:1000694,erythema multiforme,202,1
203,Hyperhidrosis,EFO:1000712,hypohidrosis,203,1
204,Impetigo,EFO:1000714,impetigo,204,1
205,Irritant contact dermatitis,EFO:1000718,irritant dermatitis,205,1
206,Lichen planus,EFO:1000726,lichen planus,206,1
207,Parapsoriasis,EFO:1000747,parapsoriasis,207,1
208,Pemphigus,EFO:1000749,pemphigus,208,1
209,Pityriasis rosea,EFO:1000756,pityriasis rosea,209,1
210,Rosacea,EFO:1000760,rosacea,210,1
211,Seborrhoeic dermatitis,EFO:1000764,seborrheic dermatitis,211,1
212,Atrophic disorders of skin,EFO:1000766,skin atrophy,212,1
213,Coxarthrosis,EFO:1000786,"osteoarthritis, hip",213,1
214,Coalworker s pneumoconiosis,EFO:1000814,anthracosis,214,1
215,Ascorbic acid deficiency,EFO:1000822,ascorbic acid deficiency,215,1
216,Bacterial meningitis,EFO:1000831,bacterial meningitis,216,1
217,Dysplasia of cervix uteri,EFO:1000910,dysplasia of cervix,217,1
218,Habitual aborter,EFO:1000954,habitual abortion,218,1
219,Other rickettsioses,EFO:1001162,rickettsiosis,219,1
220,Secondary parkinsonism,EFO:1001175,secondary Parkinson disease,220,1
221,Viral meningitis,EFO:1001236,viral meningitis,221,1
222,Vitamin A deficiency,EFO:1001237,vitamin A deficiency,222,1
223,Spontaneous abortion,EFO:1001255,spontaneous abortion,223,1
224,Unspecified renal colic,EFO:1001412,renal colic,224,1
225,Taeniasis,EFO:1001433,taeniasis,225,1
226,Synovitis and tenosynovitis,EFO:1001435,tenosynovitis,226,1
227,Schistosomiasis,EFO:1001475,schistosomiasis,227,1
228,Unspecified abortion,EFO:1001491,abortion,228,1
229,Femoral hernia,EFO:1001791,femoral hernia,229,1
230,Ventral hernia,EFO:1001866,ventral hernia,230,1
231,Amyloidosis,EFO:1001875,amyloidosis,231,1
232,Cicatricial alopecia,EFO:1002028,cicatrical alopecia,232,1
233,Other disorders of nervous system,EFO:0000618,nervous system disease,233,1
234,Polyuria,HP:0000103,polyuria,234,1
235,Pruritus,HP:0000989,prutitus,235,1
236,Nausea and vomiting,HP:0002017,nausea and vomiting,236,1
237,Peptic ulcer site unspecified,HP:0004398,peptic ulcer,237,1
238,Erythema nodosum,HP:0012219,erythema nodosum,238,1
239,Oesophagitis,HP:0100633,esophagitis,239,1
240,Common variable immunodeficiency,Orphanet:1572,common variable immunodeficiency,240,1
241,Adrenogenital disorders,Orphanet:181412,adrenogenital syndrome,241,1
242,Sickle cell disorders,Orphanet:232,sickle cell anemia,242,1
243,Congenital malformations of great veins,Orphanet:363189,congenital anomaly of the great veins,243,1
244,Huntington s disease,Orphanet:399,Huntington disease,244,1
245,Cystic fibrosis,Orphanet:586,cystic fibrosis,245,1
246,Hypertrichosis,Orphanet:79365,Hypertrichosis,246,1
247,Sarcoidosis,Orphanet:797,sarcoidosis,247,1
248,Turner s syndrome,Orphanet:881,Turner syndrome,248,1
249,Congenital malformations of great arteries,Orphanet:98724,congenital anomaly of the great arteries,249,1
250,Hereditary factor VIII deficiency,Orphanet:98878,hemophilia A,250,1
251,Hereditary factor IX deficiency,Orphanet:98879,hemophilia B,251,1
252,Keratitis,EFO:0009449,keratitis,252,1
253,Conjunctivitis,EFO:0009450,conjunctivitis,253,1
254,Hypoparathyroidism,EFO:0009451,hypoparathyroidism,254,1
255,Hyperaldosteronism,EFO:0009452,hyperaldosteonism,255,1
256,Hemiplegia,EFO:0009453,hemiplagia,256,1
257,Gastric ulcer,EFO:0009454,gastric ulcer,257,1
258,Disorders of lacrimal system,EFO:0009455,lacrimal apparatus disease,258,1
259,Exfoliative dermatitis,EFO:0009456,exfoliative dermatitis,259,1
260,Apocrine sweat disorders,EFO:1002046,apocrine sweat gland disease,260,1
261,Spotted fever,EFO:1002047,spotted fever,261,1
262,Unspecified nephritic syndrome,EFO:1002050,nephritis,262,1
263,Facial nerve disorders,EFO:1002051,facial nerve disease,263,1
264,Essential primary hypertension,EFO:1002032,primary hypertension,264,1
265,Unspecified jaundice,HP:0000952,jaundice,265,1
266,Iridocyclitis,HP:0001094,iridocyclitis,266,1
267,Hepatic failure,HP:0001399,hepatic failure,267,1
268,Umbilical hernia,HP:0001537,umbilical hernia,268,1
269,Polyhydramnios,HP:0001561,polyhydramnios,269,1
270,cardiac arrest,EFO:0009492,cardiac arrest,270,1
271,Abnormality of red blood cells,HP:0001877,abnormal erythrocyte morphology,271,1
272,Hypothermia,HP:0002045,hypothermia,272,1
273,Lymphadenopathy,HP:0002716,lymphadenopathy,273,1
274,Abnormal findings in cerebrospinal fluid,HP:0002921,abnormality of the cerebrospinal fluid,274,1
275,Glycosuria,HP:0003076,glycosuria,275,1
276,Abnormality of glycoprotein metabolism,HP:0004367,abnormality of glycoprotein metabolism,276,1
277,Abnormality of glycosaminoglycan metabolism,HP:0004371,abnormality of glycosaminoglycan metabolism,277,1
278,Congenital septal defect,HP:0001671,Abnormal cardiac septum morphology,278,1
279,Paroxysmal tachycardia,EFO:0009493,paroxysmal tachycardia,279,1
280,Congenital malformations of anterior segment of eye,HP:0007700,Anterior segment developmental abnormality,280,1
281,Gynecomastia,HP:0010313,breast hypertrophy,281,1
282,Polydactyly,Orphanet:2913,polydactyly,282,1
283,Mixed and other personality disorders,HP:0012075,Personality disorder,283,1
284,Acquired pure red cell aplasia,HP:0012410,Pure red cell aplasia,284,1
285,Chorioretinitis,HP:0012424,chorioretinitis,285,1
286,Congenital malformations of larynx,HP:0025423,Abnormal larynx morphology,286,1
287,Portal vein thrombosis,HP:0030242,portal vein thrombosis,287,1
288,Other congenital malformations of ear,HP:0031703,Abnormal ear morphology,288,1
289,Eclampsia,HP:0100601,eclampsia,289,1
290,Other mosquito borne viral fevers,EFO:0009575,mosquito-borne hemorragic fever,290,1
291,Fistulae involving female genital tract,EFO:0009524,female genital tract fistula,291,1
292,Multiple gestation,EFO:0009576,multiple gestation,292,1
293,Postpartum haemorrhage,EFO:0009579,postpartum hemorrhage,293,1
294,Retained placenta and membranes without haemorrhage,EFO:0009578,placental retention,294,1
295,Faecal incontinence,EFO:0009523,fecal incontinence,295,1
296,Disturbances of skin sensation,EFO:0009522,disturbance of skin sensation,296,1
297,Injury of heart,EFO:0009506,heart injury,297,1
298,Fractures involving multiple body regions,EFO:0009513,multiple bone fractures,298,1
299,Fracture of upper limb level unspecified,EFO:0009514,upper extremity fracture,299,1
300,Fracture of lower limb level unspecified,EFO:0009512,lower extremity fracture,300,1
301,Other injuries of lower limb level unspecified,EFO:0009508,leg injury,301,1
302,Foreign body in alimentary tract,EFO:0009526,foreign body in gastrointestinal tract,302,1
303,Burns classified according to extent of body surface involved,EFO:0009516,burn,303,1
304,Routine general health check up of defined subpopulation,EFO:0009517,checkup,304,1
305,Contraceptive management,EFO:0009520,contraception,305,1
306,Prophylactic surgery,EFO:0009580,prophylactic surgery,306,1
307,Care involving use of rehabilitation procedures,EFO:0009581,rehabilitation,307,1
308,Disorders of mineral metabolism,EFO:0009556,mineral metabolism disease,308,1
309,Other disorders of cornea,EFO:0009464,corneal disease,309,1
310,uremia,EFO:1002048,kidney failure,310,1
311,Oesophageal varices,EFO:0009545,esophageal varices,311,1
312,Disorders of autonomic nervous system,EFO:0009532,autonomic nervous system disease,312,1
313,marasmus,EFO:0009563,protein energy malnutrition,313,1
314,Inflammatory disease of uterus except cervix,EFO:0009572,uterine inflammatory disease,314,1
315,Disorders of trigeminal nerve,EFO:0009569,trigeminal nerve disease,315,1
316,Pulmonary valve disorders,EFO:0009564,pulmonary valve disease,316,1
317,Other disorders of tympanic membrane,EFO:0009570,tympanic membrane disease,317,1
318,Other diseases of oesophagus,EFO:0009544,esophageal disease,318,1
319,Other inflammation of eyelid,EFO:0009536,blepharitis,319,1
320,Otitis externa,EFO:0009560,otitis externa,320,1
321,Other diseases of biliary tract,EFO:0009534,biliary tract disease,321,1
322,Haemorrhoids,EFO:0009552,hemorrhoid,322,1
323,HIV disease resulting in malignant neoplasms,EFO:0009553,HIV-associated cancer,323,1
324,Anaemia due to enzyme disorders,EFO:0009529,anemia due to enzyme disorder,324,1
325,Other disorders of peritoneum,EFO:0009541,disease of peritoneum,325,1
326,Other headache syndromes,EFO:0009550,headache disorder,326,1
327,Unspecified intestinal parasitism,EFO:0009561,parasitic intestinal disease,327,1
328,Nerve root and plexus disorders,EFO:0009559,nerve plexus disease,328,1
329,Other diseases of appendix,EFO:0009542,disorder of appendix,329,1
330,Small kidney of unknown cause,EFO:0009471,small kidney,330,1
331,Perforation of tympanic membrane,EFO:0009472,tympanic membrane perforation,331,1
332,Other spirochaetal infections,EFO:0009567,Spirochaetales Infections,332,1
333,Disturbances of smell and taste,EFO:0009543,disturbances of sensation of smell and taste,333,1
334,Other diseases of jaws,EFO:0009468,jaw disease,334,1
335,Diseases of Bartholin s gland,EFO:0009469,Bartholin's gland disease,335,1
336,Waist circumference,EFO:0004342,waist circumference,336,1
337,Hip circumference,EFO:0005093,hip circumference,337,1
338,Standing height,EFO:0004339,body height,338,1
339,Sleep duration,EFO:0005271,sleep duration,339,1
340,Morning/evening person (chronotype),EFO:0008328,chronotype measurement,340,1
341,Sleeplessness / insomnia,EFO:0004698,insomnia,341,1
342,Snoring,EFO:0008341,snoring measurement,342,1
343,Alcohol intake frequency.,EFO:0007878,alcohol consumption measurement,343,1
344,Mood swings,HP:0000720,mood swings,344,1
345,Irritability,HP:0000737,irritability,345,1
346,"Loneliness, isolation",EFO:0007865,loneliness measurement,346,1
347,Frequency of tiredness / lethargy in last 2 weeks,EFO:0007946,tiredness measurement,347,1
348,Hearing difficulty/problems with background noise,EFO:0004238,hearing loss,348,1
349,Chest pain or discomfort,HP:0100749,chest pain,349,1
350,Relative age voice broke,EFO:0007888,age at voice drop,350,1
351,Age when periods started (menarche),EFO:0004703,age at menarche,351,1
352,Had menopause,EFO:0003922,menopause,352,1
353,Forced vital capacity (FVC),EFO:0004312,vital capacity,353,1
354,Length of menstrual cycle,EFO:0007786,menstrual cycle measurement,354,1
355,Stomach/abdominal pain for 3+ months,EFO:0003766,pain in abdomen,355,1
356,Gestational diabetes only,EFO:0004593,gestational diabetes,356,1
357,"Diastolic blood pressure, automated reading",EFO:0006336,diastolic blood pressure,357,1
358,"Systolic blood pressure, automated reading",EFO:0006335,systolic blood pressure,358,1
359,Pulse rate,EFO:0004326,heart rate,359,1
360,Maximum heart rate during fitness test,EFO:0009184,heart rate response to exercise,360,1
361,Fluid intelligence score,EFO:0004337,intelligence,361,1
362,Birth weight,EFO:0004344,birth weight,362,1
363,Bipolar disorder status,EFO:0000289,bipolar disorder,363,1
364,Neuroticism score,EFO:0007660,neuroticism measurement,364,1
365,"Forced vital capacity (FVC), Best measure",EFO:0004312,vital capacity,365,1
366,Body mass index (BMI),EFO:0004340,body mass index,366,1
367,Weight,EFO:0004338,body weight,367,1
368,Pulse wave Arterial Stiffness index,EFO:0004517,arterial stiffness measurement,368,1
369,hayfever or allergic rhinitis,EFO:0003956,seasonal allergic rhinitis,369,1
370,asthma,EFO:0000270,asthma,370,1
371,emphysema,EFO:0000464,emphysema,371,1
372,chronic bronchitis,EFO:0006505,chronic bronchitis,372,1
373,COPD (chronic obstructive pulmonary disease),EFO:0000341,chronic obstructive pulmonary disease,373,1
374,sarcoidosis,Orphanet:797,sarcoidosis,374,1
375,bronchiectasis,HP:0002110,bronchiectasis,375,1
376,idiopathic pulmonary fibrosis,EFO:0000768,idiopathic pulmonary fibrosis,376,1
377,tuberculosis,Orphanet:3389,tuberculosis,377,1
378,Body fat percentage,EFO:0007800,body fat percentage,378,1
379,Whole body fat mass,EFO:0005409,fat body mass,379,1
380,Whole body fat-free mass,EFO:0004995,lean body mass,380,1
381,Basal metabolic rate,EFO:0007777,base metabolic rate measurement,381,1
382,Potassium in urine,HP:0012598,abnormal urine potassium concentration,382,1
383,Sodium in urine,HP:0012603,abnormal urine sodium concentration,383,1
384,Age at death,EFO:0005056,age at death,384,1
385,cancer of lip/mouth/pharynx/oral cavity,EFO:0005570,oral cavity cancer,385,1
386,rectal cancer,EFO:1000657,rectal cancer,386,1
387,lymphoma,EFO:0000574,lymphoma,387,1
388,leukaemia,EFO:0000565,leukemia,388,1
389,multiple myeloma,EFO:0001378,multiple myeloma,389,1
390,hodgkins lymphoma / hodgkins disease,EFO:0000183,Hodgkins lymphoma,390,1
391,non-hodgkins lymphoma,EFO:0005952,non-Hodgkins lymphoma,391,1
392,chronic lymphocytic,EFO:0000095,chronic lymphocytic leukemia,392,1
393,chronic myeloid,EFO:0000339,chronic myelogenous leukemia,393,1
394,malignant melanoma,EFO:0000756,melanoma,394,1
395,basal cell carcinoma,EFO:0004193,basal cell carcinoma,395,1
396,squamous cell carcinoma,EFO:0000707,squamous cell carcinoma,396,1
397,hypertension,EFO:0000537,hypertension,397,1
398,heart/cardiac problem,EFO:0003777,heart disease,398,1
399,peripheral vascular disease,EFO:0003875,peripheral vascular disease,399,1
400,venous thromboembolic disease,HP:0004936,venous thrombosis,400,1
401,essential hypertension,EFO:1002032,primary hypertension,401,1
402,gestational hypertension/pre-eclampsia,EFO:0000668,preeclampsia,402,1
403,angina,EFO:0003913,angina pectoris,403,1
404,heart attack/myocardial infarction,EFO:0000612,myocardial infarction,404,1
405,heart failure/pulmonary odema,EFO:0003144,heart failure,405,1
406,heart arrhythmia,EFO:0004269,cardiac arrhythmia,406,1
407,cardiomyopathy,EFO:0000318,cardiomyopathy,407,1
408,stroke,EFO:0000712,stroke,408,1
409,transient ischaemic attack (tia),EFO:0003764,transient ischemic attack,409,1
410,subdural haemorrhage/haematoma,HP:0100309,subdural hemorrhage,410,1
411,subarachnoid haemorrhage,EFO:0000713,subarachnoid hemorrhage,411,1
412,leg claudication/ intermittent claudication,EFO:0003876,intermittent vascular claudication,412,1
413,pulmonary embolism +/- dvt,EFO:0003827,pulmonary embolism,413,1
414,deep venous thrombosis (dvt),EFO:0003907,deep vein thrombosis,414,1
415,chronic obstructive airways disease/copd,EFO:0000341,chronic obstructive pulmonary disease,415,1
416,emphysema/chronic bronchitis,EFO:0000464,emphysema,416,1
417,interstitial lung disease,EFO:0004244,interstitial lung disease,417,1
418,asbestosis,EFO:0007153,asbestosis,418,1
419,pulmonary fibrosis,EFO:0009448,pulmonary fibrosis,419,1
420,fibrosing alveolitis/unspecified alveolitis,EFO:0009624,pulmonary alveolitis,420,1
421,sleep apnoea,EFO:0003877,sleep apnea,421,1
422,pleurisy,EFO:1001825,pleurisy,422,1
423,spontaneous pneumothorax/recurrent pneumothorax,HP:0002108,spontaneous pneumothorax,423,1
