benchmark,tool,metric,value,denominator,source_publication,source_table_or_figure,notes
Biomappings-EFO,metaharmonizer_ontology_mapper,Top-5,0.987,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
Biomappings-EFO,metaharmonizer_ontology_mapper,MRR,0.969,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
Biomappings-EFO,text2term,Top-1,0.791,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
Biomappings-EFO,text2term,Top-3,0.897,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
Biomappings-EFO,text2term,Top-5,0.932,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
Biomappings-EFO,text2term,MRR,0.848,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
OLS-EFO (full),metaharmonizer_ontology_mapper,Top-1,0.891,7377,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
OLS-EFO (full),metaharmonizer_ontology_mapper,Top-3,0.915,7377,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
OLS-EFO (full),metaharmonizer_ontology_mapper,Top-5,0.921,7377,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
OLS-EFO (full),metaharmonizer_ontology_mapper,MRR,0.903,7377,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
OLS-EFO (full),text2term,Top-1,0.792,7504,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)"". DENOMINATOR NOTICE: text2term n=7504 differs from ours/OM n=7377 on OLS-EFO (full) -- see FIGURES.md denominator section; this is NOT an identical-N comparison."
OLS-EFO (full),text2term,Top-3,0.835,7504,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)"". DENOMINATOR NOTICE: text2term n=7504 differs from ours/OM n=7377 on OLS-EFO (full) -- see FIGURES.md denominator section; this is NOT an identical-N comparison."
OLS-EFO (full),text2term,Top-5,0.842,7504,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)"". DENOMINATOR NOTICE: text2term n=7504 differs from ours/OM n=7377 on OLS-EFO (full) -- see FIGURES.md denominator section; this is NOT an identical-N comparison."
OLS-EFO (full),text2term,MRR,0.813,7504,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)"". DENOMINATOR NOTICE: text2term n=7504 differs from ours/OM n=7377 on OLS-EFO (full) -- see FIGURES.md denominator section; this is NOT an identical-N comparison."
