benchmark,alignment_id,our_query_id,our_source_original,our_source_normalized,t2t_source_id,t2t_source_original,t2t_source_normalized,our_gold_original,t2t_gold_original,normalized_gold,our_prediction,t2t_prediction,our_status,our_original_graph_relationship,t2t_original_published_classification,ours_recomputed_relationship,t2t_recomputed_relationship,alignment_status
UKBB-EFO,UKBB-EFO::25,25,Female infertility,Female infertility,482ohbvcCA,Female infertility,Female infertility,EFO:0008560,EFO:0008560,EFO:0008560,EFO:0008560,EFO:0008560,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::26,26,Sleep disorders,Sleep disorders,T4CDmQBCdn,Sleep disorders,Sleep disorders,EFO:0008568,EFO:0008568,EFO:0008568,EFO:0008568,EFO:0008568,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::27,27,Thiamine deficiency,Thiamine deficiency,HJbdCH48Gj,Thiamine deficiency,Thiamine deficiency,EFO:0008569,EFO:0008569,EFO:0008569,EFO:0008569,EFO:0008569,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::28,28,Viral conjunctivitis,Viral conjunctivitis,CKydXwEQVi,Viral conjunctivitis,Viral conjunctivitis,EFO:0008571,EFO:0008571,EFO:0008571,EFO:0008571,EFO:0008571,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::29,29,Alcoholic liver disease,Alcoholic liver disease,cTL9YiRqTF,Alcoholic liver disease,Alcoholic liver disease,EFO:0008573,EFO:0008573,EFO:0008573,EFO:0008573,EFO:0008573,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::30,30,Spinal osteochondrosis,Spinal osteochondrosis,D35MxA9iVS,Spinal osteochondrosis,Spinal osteochondrosis,EFO:0008576,EFO:0008576,EFO:0008576,EFO:0008576,EFO:0008576,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::31,31,Diseases of salivary glands,Diseases of salivary glands,Y5yitadvwt,Diseases of salivary glands,Diseases of salivary glands,EFO:0008581,EFO:0008581,EFO:0008581,EFO:0008581,EFO:0008581,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::32,32,Gender identity disorders,Gender identity disorders,p8YrWjRKT6,Gender identity disorders,Gender identity disorders,EFO:0008587,EFO:0008587,EFO:0008587,EFO:0008587,EFO:0008587,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::33,33,Status asthmaticus,Status asthmaticus,odoqnofcPT,Status asthmaticus,Status asthmaticus,EFO:0008590,EFO:0008590,EFO:0008590,EFO:0008590,EFO:0008590,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::34,34,Cystic kidney disease,Cystic kidney disease,cumwHseRiv,Cystic kidney disease,Cystic kidney disease,EFO:0008615,EFO:0008615,EFO:0008615,EFO:0008615,EFO:0008615,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::35,35,Polyp of female genital tract,Polyp of female genital tract,iHnHeSimrE,Polyp of female genital tract,Polyp of female genital tract,EFO:0008622,EFO:0008622,EFO:0008622,EFO:0008622,EFO:0008622,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::36,36,Persistent mood,Persistent mood,FjsENfm58V,Persistent mood,Persistent mood,EFO:0008623,EFO:0008623,EFO:0008623,EFO:0008623,EFO:0008623,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::37,37,Disorders of vitreous body,Disorders of vitreous body,Yz7De9vmu7,Disorders of vitreous body,Disorders of vitreous body,EFO:0008624,EFO:0008624,EFO:0008624,EFO:0008624,EFO:0008624,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::38,38,Ovarian dysfunction,Ovarian dysfunction,a8h9C63829,Ovarian dysfunction,Ovarian dysfunction,EFO:0009003,EFO:0009003,EFO:0009003,EFO:0009003,EFO:0009003,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::39,39,Other coagulation defects,Other coagulation defects,2rbS69NxGm,Other coagulation defects,Other coagulation defects,EFO:0009314,EFO:0009314,EFO:0009314,EFO:0009314,EFO:0009314,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::40,40,Granulomatous disorders of skin and subcutaneous tissue,Granulomatous disorders of skin and subcutaneous tissue,wZAy4Kmr5e,Granulomatous disorders of skin and subcutaneous tissue,Granulomatous disorders of skin and subcutaneous tissue,EFO:1000705,EFO:1000705,EFO:1000705,EFO:1000705,EFO:0000701,mapped,Same,More General,Same,More General,matched
UKBB-EFO,UKBB-EFO::41,41,Excessive vomiting in pregnancy,Excessive vomiting in pregnancy,RjJJxvYtS6,Excessive vomiting in pregnancy,Excessive vomiting in pregnancy,EFO:1000971,EFO:1000971,EFO:1000971,EFO:1000971,EFO:0002950,mapped,Same,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::42,42,Hyperfunction of pituitary gland,Hyperfunction of pituitary gland,aMPzm53Dyk,Hyperfunction of pituitary gland,Hyperfunction of pituitary gland,EFO:1000973,EFO:1000973,EFO:1000973,EFO:1000973,MONDO:0003429,mapped,Same,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::43,43,Other nutritional deficiencies,Other nutritional deficiencies,U4HFUuxuZa,Other nutritional deficiencies,Other nutritional deficiencies,EFO:1001067,EFO:1001067,EFO:1001067,EFO:1001067,EFO:1001067,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::44,44,Other rheumatic heart diseases,Other rheumatic heart diseases,HwrUgXs6m5,Other rheumatic heart diseases,Other rheumatic heart diseases,EFO:1001161,EFO:1001161,EFO:1001161,EFO:1001161,EFO:1001161,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::45,45,Other helminthiases,Other helminthiases,2Kecmcs7KB,Other helminthiases,Other helminthiases,EFO:1001342,EFO:1001342,EFO:1001342,EFO:1001342,EFO:1001342,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::46,46,Unspecified viral infection of CNS,Unspecified viral infection of CNS,K6hMas5xAE,Unspecified viral infection of CNS,Unspecified viral infection of CNS,EFO:1001456,EFO:1001456,EFO:1001456,MONDO:0024318,EFO:0000763,mapped,More Specific,Unrelated,More Specific,Unrelated,matched
UKBB-EFO,UKBB-EFO::47,47,Diverticular disease of intestine,Diverticular disease of intestine,JgivKcEfGw,Diverticular disease of intestine,Diverticular disease of intestine,EFO:1001460,EFO:1001460,EFO:1001460,EFO:0009959,EFO:0009959,mapped,More General,More General,More General,More General,matched
UKBB-EFO,UKBB-EFO::48,48,Premature separation of placenta,Premature separation of placenta,MME9MCUdyA,Premature separation of placenta,Premature separation of placenta,EFO:1001754,EFO:1001754,EFO:1001754,EFO:1001754,EFO:1001754,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::49,49,Retention of urine,Retention of urine,fsNmt4zc2K,Retention of urine,Retention of urine,HP:0000016,HP:0000016,HP:0000016,HP:0000016,HP:0000016,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::50,50,Unspecified urinary incontinence,Unspecified urinary incontinence,iEfCTuH4Sg,Unspecified urinary incontinence,Unspecified urinary incontinence,HP:0000020,HP:0000020,HP:0000020,HP:0000020,HP:0000020,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::51,51,Isolated proteinuria,Isolated proteinuria,s4WqMGoLsb,Isolated proteinuria,Isolated proteinuria,HP:0000093,HP:0000093,HP:0000093,HP:0000093,HP:0000093,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::52,52,Cleft palate,Cleft palate,QhsEQZzDYW,Cleft palate,Cleft palate,HP:0000175,HP:0000175,HP:0000175,HP:0000175,MONDO:0016064,mapped,Same,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::53,53,Hydrocephalus,Hydrocephalus,Lj4ykzpLBh,Hydrocephalus,Hydrocephalus,HP:0000238,HP:0000238,HP:0000238,HP:0000238,HP:0000238,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::54,54,Visual disturbances,Visual disturbances,UP3z2KR2Ty,Visual disturbances,Visual disturbances,HP:0000505,HP:0000505,HP:0000505,HP:0000504,HP:0001288,mapped,More General,Unrelated,More General,Unrelated,matched
UKBB-EFO,UKBB-EFO::55,55,Unspecified dementia,Unspecified dementia,RDWtYzpD7a,Unspecified dementia,Unspecified dementia,HP:0000726,HP:0000726,HP:0000726,MONDO:0001627,MONDO:0001627,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::56,56,Unspecified haematuria,Unspecified haematuria,pJSUqngb6P,Unspecified haematuria,Unspecified haematuria,HP:0000790,HP:0000790,HP:0000790,HP:0000790,HP:0000790,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::57,57,Cholecystitis,Cholecystitis,PvnmzU8FUV,Cholecystitis,Cholecystitis,HP:0001082,HP:0001082,HP:0001082,HP:0001082,HP:0001082,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::58,58,Dystonia,Dystonia,uTGZBwy3wm,Dystonia,Dystonia,HP:0001332,HP:0001332,HP:0001332,MONDO:0003441,HP:0001332,mapped,Unrelated,Same,Unrelated,Same,matched
UKBB-EFO,UKBB-EFO::59,59,Ascites,Ascites,G7agJX39GF,Ascites,Ascites,HP:0001541,HP:0001541,HP:0001541,HP:0001541,HP:0001541,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::60,60,Iron deficiency anaemia,Iron deficiency anaemia,bXojFejvYE,Iron deficiency anaemia,Iron deficiency anaemia,HP:0001891,HP:0001891,HP:0001891,HP:0001891,HP:0001891,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::61,61,Acute renal failure,Acute renal failure,ezybavupTo,Acute renal failure,Acute renal failure,HP:0001919,HP:0001919,HP:0001919,MONDO:0002492,HP:0001919,mapped,Unrelated,Same,Unrelated,Same,matched
UKBB-EFO,UKBB-EFO::62,62,Nonspecific lymphadenitis,Nonspecific lymphadenitis,FrBnmas85g,Nonspecific lymphadenitis,Nonspecific lymphadenitis,HP:0002840,HP:0002840,HP:0002840,MONDO:0002052,HP:0002840,mapped,Unrelated,Same,Unrelated,Same,matched
UKBB-EFO,UKBB-EFO::63,63,Cachexia,Cachexia,94kNGHaNPS,Cachexia,Cachexia,HP:0004326,HP:0004326,HP:0004326,HP:0004326,HP:0004326,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::64,64,Disseminated intravascular coagulation,Disseminated intravascular coagulation,VGKPydV4US,Disseminated intravascular coagulation,Disseminated intravascular coagulation,HP:0005521,HP:0005521,HP:0005521,HP:0005521,HP:0005521,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::65,65,Senile cataract,Senile cataract,ek9JJctb5i,Senile cataract,Senile cataract,HP:0011141,HP:0011141,HP:0011141,MONDO:0004847,MONDO:0004847,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::66,66,Agranulocytosis,Agranulocytosis,DxrUnHZtS6,Agranulocytosis,Agranulocytosis,HP:0012234,HP:0012234,HP:0012234,HP:0012234,HP:0012234,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::67,67,Helicobacter pylori,Helicobacter pylori,AEN5ed4287,Helicobacter pylori,Helicobacter pylori,NCBITaxon:210,NCBITaxon:210,NCBITAXON:210,EFO:1000961,EFO:1000961,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::68,68,Reduction defects of lower limb,Reduction defects of lower limb,GuXAYdi2zJ,Reduction defects of lower limb,Reduction defects of lower limb,Orphanet:2130,ORDO:2130,ORDO:2130,MONDO:0019713,ORPHANET.ORDO:404574,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::69,69,Congenital hydrocephalus,Congenital hydrocephalus,85aT7VMFSH,Congenital hydrocephalus,Congenital hydrocephalus,Orphanet:2185,ORDO:2185,ORDO:2185,MONDO:0016349,MONDO:0016349,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::70,70,Immunodeficiency with predominantly antibody defects,Immunodeficiency with predominantly antibody defects,HB8dauNAao,Immunodeficiency with predominantly antibody defects,Immunodeficiency with predominantly antibody defects,Orphanet:331244,ORDO:331244,ORDO:331244,ORDO:331244,ORPHANET.ORDO:331244,mapped,Unrelated,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::71,71,Congenital malformations of oesophagus,Congenital malformations of oesophagus,BuupACMv9i,Congenital malformations of oesophagus,Congenital malformations of oesophagus,Orphanet:88993,ORDO:88993,ORDO:88993,HP:0002031,MONDO:0019755,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::72,72,Syndactyly,Syndactyly,E4a6bUDAQ4,Syndactyly,Syndactyly,Orphanet:90025,ORDO:90025,ORDO:90025,MONDO:0021002,MONDO:0021002,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::73,73,Other congenital malformations of intestine,Other congenital malformations of intestine,ZDxjbvfuxE,Other congenital malformations of intestine,Other congenital malformations of intestine,Orphanet:97945,ORDO:97945,ORDO:97945,EFO:0700116,MONDO:0019755,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::74,74,Other disorders of peripheral nervous system,Other disorders of peripheral nervous system,q9GrCoNZCv,Other disorders of peripheral nervous system,Other disorders of peripheral nervous system,EFO:0009387,EFO:0009387,EFO:0009387,EFO:0009387,EFO:0009387,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::75,75,Spondylosis,Spondylosis,jM2D9E5zXT,Spondylosis,Spondylosis,EFO:0000706,EFO:0000706,EFO:0000706,MONDO:0002253,MONDO:0002253,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::76,76,Other retinal disorders,Other retinal disorders,LApDFRrdFc,Other retinal disorders,Other retinal disorders,EFO:0003839,EFO:0003839,EFO:0003839,EFO:0003839,EFO:0003839,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::77,77,Arterial embolism and thrombosis,Arterial embolism and thrombosis,htqFbfZFsD,Arterial embolism and thrombosis,Arterial embolism and thrombosis,EFO:0004286,EFO:0004286,EFO:0004286,HP:0001907,HP:0004420,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::78,78,Juvenile osteochondrosis of hip and pelvis,Juvenile osteochondrosis of hip and pelvis,nzVQL2irzU,Juvenile osteochondrosis of hip and pelvis,Juvenile osteochondrosis of hip and pelvis,Orphanet:2380,ORDO:2380,ORDO:2380,MONDO:0007885,MONDO:0007885,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::79,79,Encephalitis myelitis and encephalomyelitis,Encephalitis myelitis and encephalomyelitis,FFFQGvXaRr,Encephalitis myelitis and encephalomyelitis,Encephalitis myelitis and encephalomyelitis,EFO:0007364,EFO:0007364,EFO:0007364,EFO:0001423,EFO:0001423,mapped,More General,More General,More General,More General,matched
UKBB-EFO,UKBB-EFO::80,80,Atrial fibrillation and flutter,Atrial fibrillation and flutter,tSCMcaDpy2,Atrial fibrillation and flutter,Atrial fibrillation and flutter,EFO:0000275,EFO:0000275,EFO:0000275,,EFO:0000275,unmapped,,Same,No Top-1 prediction,Same,matched
UKBB-EFO,UKBB-EFO::81,81,Dermatopolymyositis,Dermatopolymyositis,CQyxDJERpL,Dermatopolymyositis,Dermatopolymyositis,EFO:0000398,EFO:0000398,EFO:0000398,MONDO:0600023,EFO:0000398,mapped,More General,Same,More General,Same,matched
UKBB-EFO,UKBB-EFO::82,82,Lack of food,Lack of food,8uYKjDSNwq,Lack of food,Lack of food,EFO:0008572,EFO:0008572,EFO:0008572,EFO:0022074,EFO:0008572,mapped,Unrelated,Same,Unrelated,Same,matched
UKBB-EFO,UKBB-EFO::83,83,Inflammatory diseases of prostate,Inflammatory diseases of prostate,pVKwFBtKfV,Inflammatory diseases of prostate,Inflammatory diseases of prostate,EFO:0003830,EFO:0003830,EFO:0003830,EFO:0003830,EFO:0009903,mapped,Same,More General,Same,More General,matched
UKBB-EFO,UKBB-EFO::84,84,Chronic renal failure,Chronic renal failure,jpukekFHXj,Chronic renal failure,Chronic renal failure,EFO:0003884,EFO:0003884,EFO:0003884,EFO:0003884,EFO:0009909,mapped,Same,More Specific,Same,More Specific,matched
UKBB-EFO,UKBB-EFO::85,85,Postpolio syndrome,Postpolio syndrome,EAAJkKQBbH,Postpolio syndrome,Postpolio syndrome,EFO:0007454,EFO:0007454,EFO:0007454,EFO:0007454,EFO:0007454,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::86,86,Atopic dermatitis,Atopic dermatitis,BLzirCr3UB,Atopic dermatitis,Atopic dermatitis,EFO:0000274,EFO:0000274,EFO:0000274,EFO:0000274,EFO:0000274,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::87,87,Cardiomyopathy,Cardiomyopathy,npmWitNKR7,Cardiomyopathy,Cardiomyopathy,EFO:0000318,EFO:0000318,EFO:0000318,EFO:0000318,EFO:0000318,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::88,88,other disorders of circulatory system,other disorders of circulatory system,3eDrd427ay,other disorders of circulatory system,other disorders of circulatory system,EFO:0000319,EFO:0000319,EFO:0000319,EFO:0000319,EFO:0000319,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::89,89,Crohn s disease,Crohn s disease,56RVGCi9cN,Crohn s disease,Crohn s disease,EFO:0000384,EFO:0000384,EFO:0000384,EFO:0000384,EFO:0000384,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::90,90,Unspecified diabetes mellitus,Unspecified diabetes mellitus,WThPUCuFoF,Unspecified diabetes mellitus,Unspecified diabetes mellitus,EFO:0000400,EFO:0000400,EFO:0000400,EFO:0000400,EFO:0000400,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::91,91,Other specified diabetes mellitus,Other specified diabetes mellitus,4PvCoSt8bX,Other specified diabetes mellitus,Other specified diabetes mellitus,EFO:0000400,EFO:0000400,EFO:0000400,EFO:0000400,EFO:0000400,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::92,92,Epilepsy,Epilepsy,bTKEhxsdva,Epilepsy,Epilepsy,EFO:0000474,EFO:0000474,EFO:0000474,EFO:0000474,EFO:0000474,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::93,93,Glaucoma,Glaucoma,XYMVJwg6zy,Glaucoma,Glaucoma,EFO:0000516,EFO:0000516,EFO:0000516,MONDO:0005041,MONDO:0005041,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::94,94,Irritable bowel syndrome,Irritable bowel syndrome,55V9A38Jo8,Irritable bowel syndrome,Irritable bowel syndrome,EFO:0000555,EFO:0000555,EFO:0000555,EFO:0000555,EFO:0000555,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::95,95,Schizophrenia,Schizophrenia,Chkg3fErjs,Schizophrenia,Schizophrenia,EFO:0000692,EFO:0000692,EFO:0000692,MONDO:0005090,MONDO:0005090,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::96,96,Ulcerative colitis,Ulcerative colitis,zhBZoXSgDN,Ulcerative colitis,Ulcerative colitis,EFO:0000729,EFO:0000729,EFO:0000729,EFO:0000729,EFO:0000729,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::97,97,Viral infection of unspecified site,Viral infection of unspecified site,VRCDw7eqxP,Viral infection of unspecified site,Viral infection of unspecified site,EFO:0000763,EFO:0000763,EFO:0000763,EFO:0000763,EFO:0000763,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::98,98,Myositis,Myositis,rnbbkbYdkb,Myositis,Myositis,EFO:0000783,EFO:0000783,EFO:0000783,MONDO:0600023,EFO:0000783,mapped,More Specific,Same,More Specific,Same,matched
